item_number,district,location,disposition,signal_type,signal_description,occurred_date_time,charge_code,charge_description,offender_race,offender_gender,offender_age,offender_number,person_type,victim_race,victim_gender,victim_age,victim_number,victim_fatal_status,hate_crime,report_type,year,offenderid,offenderstatus,persontype,Signal Code
J-07083-18,8,2XX Bourbon St,OPEN,65,SIMPLE ROBBERY,2018-10-06 07:00:00,14 35,SIMPLE BATTERY,BLACK,MALE,,2.0,VICTIM,WHITE,MALE,30.0,1.0,Non-fatal,,Incident Report,2018,,,,65
J-07083-18,8,2XX Bourbon St,OPEN,65,SIMPLE ROBBERY,2018-10-06 07:00:00,14 35,SIMPLE BATTERY,BLACK,MALE,,5.0,VICTIM,WHITE,MALE,30.0,1.0,Non-fatal,,Incident Report,2018,,,,103F
J-07083-18,8,2XX Bourbon St,OPEN,65,SIMPLE ROBBERY,2018-10-06 07:00:00,14 35,SIMPLE BATTERY,BLACK,MALE,,5.0,VICTIM,WHITE,MALE,30.0,1.0,Non-fatal,,Incident Report,2018,,,,65
J-07083-18,8,2XX Bourbon St,OPEN,65,SIMPLE ROBBERY,2018-10-06 07:00:00,,,BLACK,MALE,,3.0,VICTIM,WHITE,MALE,32.0,2.0,Non-fatal,,Incident Report,2018,,,,103F
J-07083-18,8,2XX Bourbon St,OPEN,65,SIMPLE ROBBERY,2018-10-06 07:00:00,,,BLACK,MALE,,3.0,VICTIM,WHITE,MALE,32.0,2.0,Non-fatal,,Incident Report,2018,,,,65
J-07083-18,8,2XX Bourbon St,OPEN,65,SIMPLE ROBBERY,2018-10-06 07:00:00,,,BLACK,FEMALE,,1.0,VICTIM,WHITE,MALE,30.0,1.0,Non-fatal,,Incident Report,2018,,,,103F
J-07083-18,8,2XX Bourbon St,OPEN,65,SIMPLE ROBBERY,2018-10-06 07:00:00,,,BLACK,FEMALE,,1.0,VICTIM,WHITE,MALE,30.0,1.0,Non-fatal,,Incident Report,2018,,,,65
J-07083-18,8,2XX Bourbon St,OPEN,65,SIMPLE ROBBERY,2018-10-06 07:00:00,,,BLACK,MALE,,4.0,VICTIM,WHITE,MALE,30.0,1.0,Non-fatal,,Incident Report,2018,,,,103F
J-07083-18,8,2XX Bourbon St,OPEN,65,SIMPLE ROBBERY,2018-10-06 07:00:00,,,BLACK,MALE,,4.0,VICTIM,WHITE,MALE,30.0,1.0,Non-fatal,,Incident Report,2018,,,,65
J-07083-18,8,2XX Bourbon St,OPEN,65,SIMPLE ROBBERY,2018-10-06 07:00:00,,,BLACK,MALE,,2.0,VICTIM,WHITE,MALE,32.0,2.0,Non-fatal,,Incident Report,2018,,,,103F
J-07083-18,8,2XX Bourbon St,OPEN,65,SIMPLE ROBBERY,2018-10-06 07:00:00,,,BLACK,MALE,,2.0,VICTIM,WHITE,MALE,32.0,2.0,Non-fatal,,Incident Report,2018,,,,65
J-07083-18,8,2XX Bourbon St,OPEN,65,SIMPLE ROBBERY,2018-10-06 07:00:00,,,BLACK,MALE,,5.0,VICTIM,WHITE,MALE,32.0,2.0,Non-fatal,,Incident Report,2018,,,,103F
J-07083-18,8,2XX Bourbon St,OPEN,65,SIMPLE ROBBERY,2018-10-06 07:00:00,,,BLACK,MALE,,5.0,VICTIM,WHITE,MALE,32.0,2.0,Non-fatal,,Incident Report,2018,,,,65
J-07083-18,8,2XX Bourbon St,OPEN,65,SIMPLE ROBBERY,2018-10-06 07:00:00,14 35,SIMPLE BATTERY,BLACK,MALE,,3.0,VICTIM,WHITE,MALE,30.0,1.0,Non-fatal,,Incident Report,2018,,,,103F
J-07083-18,8,2XX Bourbon St,OPEN,65,SIMPLE ROBBERY,2018-10-06 07:00:00,14 35,SIMPLE BATTERY,BLACK,MALE,,3.0,VICTIM,WHITE,MALE,30.0,1.0,Non-fatal,,Incident Report,2018,,,,65
J-07083-18,8,2XX Bourbon St,OPEN,65,SIMPLE ROBBERY,2018-10-06 07:00:00,14 35,SIMPLE BATTERY,BLACK,MALE,,4.0,VICTIM,WHITE,MALE,32.0,2.0,Non-fatal,,Incident Report,2018,,,,103F
J-07083-18,8,2XX Bourbon St,OPEN,65,SIMPLE ROBBERY,2018-10-06 07:00:00,14 35,SIMPLE BATTERY,BLACK,MALE,,4.0,VICTIM,WHITE,MALE,32.0,2.0,Non-fatal,,Incident Report,2018,,,,65
E-30401-18,4,General De Gaulle Dr & Kabel Dr,OPEN,34S,AGGRAVATED BATTERY (SHOOTING),2018-05-24 15:45:00,,,,,,,,,,,,Non-fatal,,Supplemental Report,2018,,,,34S
E-30401-18,4,General De Gaulle Dr & Kabel Dr,OPEN,34S,AGGRAVATED BATTERY (SHOOTING),2018-05-24 15:45:00,,,,,,,,,,,,Non-fatal,,Supplemental Report,2018,,,,30
E-30401-18,4,General De Gaulle Dr & Kabel Dr,OPEN,34S,AGGRAVATED BATTERY (SHOOTING),2018-05-24 15:45:00,,,,,,,,,,,,Non-fatal,,Supplemental Report,2018,,,,34-S
G-17658-18,1,9XX N Robertson St,CLOSED,966,DRUG LAW VIOLATION,2018-07-14 19:06:00,40 966,PROHIBITED ACTS--SCHEDULE I DRUGS,BLACK,MALE,68.0,1.0,VICTIM,,,,1.0,Non-fatal,,Incident Report,2018,,,,966
G-17658-18,1,9XX N Robertson St,CLOSED,966,DRUG LAW VIOLATION,2018-07-14 19:06:00,40 1023,PROHIBITED ACTS - DRUG PARAPHENALIA,BLACK,MALE,68.0,1.0,VICTIM,,,,1.0,Non-fatal,,Incident Report,2018,,,,966
G-35169-18,6,17XX Martin Luther King Jr Bd,OPEN,62R,SIMPLE BURGLARY (RESIDENCE),2018-07-28 16:30:00,14 62.2,SIMPLE BURGLARY (INHABITED DWELLING),BLACK,MALE,,1.0,VICTIM,WHITE,FEMALE,28.0,1.0,Non-fatal,,Incident Report,2018,,,,62R
G-30388-18,4,Woodland Dr & Tullis Dr,OPEN,21,MISCELLANEOUS INCIDENT,2018-07-24 23:08:00,,,,,,,REPORTING PERSON,BLACK,MALE,51.0,1.0,Non-fatal,,Incident Report,2018,,,,20I
J-03289-18,2,Leake Av & General Ogden St,OPEN,52,SIMPLE ARSON,2018-10-03 11:00:00,,,,,,1.0,REPORTING PERSON,WHITE,MALE,19.0,1.0,Non-fatal,,Incident Report,2018,,,,52
J-03289-18,2,Leake Av & General Ogden St,OPEN,52,SIMPLE ARSON,2018-10-03 11:00:00,,,,,,1.0,REPORTING PERSON,WHITE,MALE,19.0,1.0,Non-fatal,,Incident Report,2018,,,,52
J-03289-18,2,Leake Av & General Ogden St,OPEN,52,SIMPLE ARSON,2018-10-03 11:00:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,,,,1.0,VICTIM,,,,2.0,Non-fatal,,Incident Report,2018,,,,52
J-03289-18,2,Leake Av & General Ogden St,OPEN,52,SIMPLE ARSON,2018-10-03 11:00:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,,,,1.0,VICTIM,,,,2.0,Non-fatal,,Incident Report,2018,,,,52
J-03289-18,2,Leake Av & General Ogden St,OPEN,52,SIMPLE ARSON,2018-10-03 11:00:00,14 52,SIMPLE ARSON,,,,1.0,VICTIM,,,,2.0,Non-fatal,,Incident Report,2018,,,,52
J-03289-18,2,Leake Av & General Ogden St,OPEN,52,SIMPLE ARSON,2018-10-03 11:00:00,14 52,SIMPLE ARSON,,,,1.0,VICTIM,,,,2.0,Non-fatal,,Incident Report,2018,,,,52
G-14084-18,1,13XX Saint Louis St,CLOSED,62C,SIMPLE BURGLARY (VEHICLE),2018-07-11 19:15:00,,,,,,,VICTIM,,,,1.0,Non-fatal,,Supplemental Report,2018,,,,62C
G-35064-18,3,W I-610 & Canal Bd,OPEN,67A,AUTO THEFT,2018-07-28 05:30:00,14 67.26,THEFT OF A MOTOR VEHICLE,,,,1.0,VICTIM,BLACK,MALE,23.0,1.0,Non-fatal,,Incident Report,2018,,,,67A
E-14729-18,8,Carondelet St & Common St,OPEN,94,ILLEGAL USE OF WEAPONS,2018-05-12 05:22:00,,,,,,,,,,,,Non-fatal,,Supplemental Report,2018,,,,94
G-30457-18,8,Bourbon St & Toulouse St,CLOSED,103,DISTURBANCE,2018-07-24 23:53:00,54 403,DISTURBING THE PEACE,WHITE,MALE,41.0,1.0,VICTIM,BLACK,MALE,58.0,1.0,Non-fatal,,Incident Report,2018,,,,103
G-19109-18,8,Iberville St & Royal St,OPEN,56,SIMPLE CRIMINAL DAMAGE,2018-07-16 02:18:00,54 151 (D),CRIMINAL DAMAGE/REMOVING PROPERTY,HISPANIC,FEMALE,20.0,1.0,VICTIM,AMER. IND.,MALE,39.0,1.0,Non-fatal,,Incident Report,2018,,,,56
F-00176-18,4,35XX Garden Oaks Dr,CLOSED,34S,AGGRAVATED BATTERY (SHOOTING),2018-06-01 03:19:00,14 34,AGG. BATTERY,BLACK,MALE,40.0,1.0,VICTIM,,,,1.0,Non-fatal,,Supplemental Report,2018,,,,34S
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,,,BLACK,MALE,,1.0,WITNESS,BLACK,FEMALE,31.0,2.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,,,BLACK,MALE,,1.0,WITNESS,BLACK,FEMALE,31.0,2.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,,,BLACK,MALE,,1.0,WITNESS,BLACK,FEMALE,31.0,2.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,,,BLACK,MALE,,1.0,WITNESS,BLACK,FEMALE,31.0,2.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,,,BLACK,MALE,,1.0,WITNESS,BLACK,FEMALE,31.0,2.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,,,BLACK,MALE,,2.0,WITNESS,BLACK,FEMALE,31.0,2.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,,,BLACK,MALE,,2.0,WITNESS,BLACK,FEMALE,31.0,2.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,,,BLACK,MALE,,2.0,WITNESS,BLACK,FEMALE,31.0,2.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,,,BLACK,MALE,,2.0,WITNESS,BLACK,FEMALE,31.0,2.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,,,BLACK,MALE,,2.0,WITNESS,BLACK,FEMALE,31.0,2.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,14 64.3,USE OF FIREARM IN ROBBERY,BLACK,MALE,,2.0,VICTIM,BLACK,MALE,24.0,1.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,14 64.3,USE OF FIREARM IN ROBBERY,BLACK,MALE,,2.0,VICTIM,BLACK,MALE,24.0,1.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,14 64.3,USE OF FIREARM IN ROBBERY,BLACK,MALE,,2.0,VICTIM,BLACK,MALE,24.0,1.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,14 64.3,USE OF FIREARM IN ROBBERY,BLACK,MALE,,2.0,VICTIM,BLACK,MALE,24.0,1.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,14 64.3,USE OF FIREARM IN ROBBERY,BLACK,MALE,,2.0,VICTIM,BLACK,MALE,24.0,1.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,,,BLACK,MALE,,2.0,WITNESS,BLACK,FEMALE,47.0,4.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,,,BLACK,MALE,,2.0,WITNESS,BLACK,FEMALE,47.0,4.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,,,BLACK,MALE,,2.0,WITNESS,BLACK,FEMALE,47.0,4.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,,,BLACK,MALE,,2.0,WITNESS,BLACK,FEMALE,47.0,4.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,,,BLACK,MALE,,2.0,WITNESS,BLACK,FEMALE,47.0,4.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,,,BLACK,MALE,,1.0,WITNESS,BLACK,FEMALE,39.0,3.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,,,BLACK,MALE,,1.0,WITNESS,BLACK,FEMALE,39.0,3.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,,,BLACK,MALE,,1.0,WITNESS,BLACK,FEMALE,39.0,3.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,,,BLACK,MALE,,1.0,WITNESS,BLACK,FEMALE,39.0,3.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,,,BLACK,MALE,,1.0,WITNESS,BLACK,FEMALE,39.0,3.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,,,BLACK,MALE,,1.0,WITNESS,BLACK,FEMALE,47.0,4.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,,,BLACK,MALE,,1.0,WITNESS,BLACK,FEMALE,47.0,4.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,,,BLACK,MALE,,1.0,WITNESS,BLACK,FEMALE,47.0,4.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,,,BLACK,MALE,,1.0,WITNESS,BLACK,FEMALE,47.0,4.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,,,BLACK,MALE,,1.0,WITNESS,BLACK,FEMALE,47.0,4.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,14 64.3,USE OF FIREARM IN ROBBERY,BLACK,MALE,,1.0,VICTIM,BLACK,MALE,24.0,1.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,14 64.3,USE OF FIREARM IN ROBBERY,BLACK,MALE,,1.0,VICTIM,BLACK,MALE,24.0,1.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,14 64.3,USE OF FIREARM IN ROBBERY,BLACK,MALE,,1.0,VICTIM,BLACK,MALE,24.0,1.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,14 64.3,USE OF FIREARM IN ROBBERY,BLACK,MALE,,1.0,VICTIM,BLACK,MALE,24.0,1.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,14 64.3,USE OF FIREARM IN ROBBERY,BLACK,MALE,,1.0,VICTIM,BLACK,MALE,24.0,1.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,14 64,ARMED ROBBERY,BLACK,MALE,,1.0,VICTIM,BLACK,MALE,24.0,1.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,14 64,ARMED ROBBERY,BLACK,MALE,,1.0,VICTIM,BLACK,MALE,24.0,1.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,14 64,ARMED ROBBERY,BLACK,MALE,,1.0,VICTIM,BLACK,MALE,24.0,1.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,14 64,ARMED ROBBERY,BLACK,MALE,,1.0,VICTIM,BLACK,MALE,24.0,1.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,14 64,ARMED ROBBERY,BLACK,MALE,,1.0,VICTIM,BLACK,MALE,24.0,1.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,,,BLACK,MALE,,2.0,WITNESS,BLACK,FEMALE,39.0,3.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,,,BLACK,MALE,,2.0,WITNESS,BLACK,FEMALE,39.0,3.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,,,BLACK,MALE,,2.0,WITNESS,BLACK,FEMALE,39.0,3.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,,,BLACK,MALE,,2.0,WITNESS,BLACK,FEMALE,39.0,3.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,,,BLACK,MALE,,2.0,WITNESS,BLACK,FEMALE,39.0,3.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,14 64,ARMED ROBBERY,BLACK,MALE,,2.0,VICTIM,BLACK,MALE,24.0,1.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,14 64,ARMED ROBBERY,BLACK,MALE,,2.0,VICTIM,BLACK,MALE,24.0,1.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,14 64,ARMED ROBBERY,BLACK,MALE,,2.0,VICTIM,BLACK,MALE,24.0,1.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,14 64,ARMED ROBBERY,BLACK,MALE,,2.0,VICTIM,BLACK,MALE,24.0,1.0,Non-fatal,,Incident Report,2018,,,,64G
F-19210-18,7,73XX Northgate Dr,OPEN,64G,ARMED ROBBERY (GUN),2018-06-16 13:30:00,14 64,ARMED ROBBERY,BLACK,MALE,,2.0,VICTIM,BLACK,MALE,24.0,1.0,Non-fatal,,Incident Report,2018,,,,64G
G-37313-18,4,22XX Cobblestone Ln B,OPEN,62R,SIMPLE BURGLARY (RESIDENCE),2018-07-30 14:30:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,,,,1.0,VICTIM,BLACK,MALE,52.0,1.0,Non-fatal,,Incident Report,2018,,,,62R
G-37313-18,4,22XX Cobblestone Ln B,OPEN,62R,SIMPLE BURGLARY (RESIDENCE),2018-07-30 14:30:00,14 62,SIMPLE BURGLARY,,,,1.0,VICTIM,BLACK,MALE,52.0,1.0,Non-fatal,,Incident Report,2018,,,,62R
G-37313-18,4,22XX Cobblestone Ln B,OPEN,62R,SIMPLE BURGLARY (RESIDENCE),2018-07-30 14:30:00,,,,,,1.0,INTERVIEW,BLACK,FEMALE,53.0,2.0,Non-fatal,,Incident Report,2018,,,,62R
G-35066-18,4,L B Landry Bd & Mardi Gras Bd,OPEN,67A,AUTO THEFT,2018-07-28 02:30:00,,,,,,,VICTIM,WHITE,MALE,30.0,1.0,Non-fatal,,Supplemental Report,2018,,,,67A
J-09795-18,1,15XX Sauvage St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2018-10-08 14:55:00,14 62,SIMPLE BURGLARY,BLACK,MALE,,1.0,VICTIM,WHITE,MALE,60.0,1.0,Non-fatal,,Incident Report,2018,,,,62C
J-09795-18,1,15XX Sauvage St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2018-10-08 14:55:00,14 38,SIMPLE ASSAULT,BLACK,MALE,,1.0,VICTIM,BLACK,MALE,26.0,2.0,Non-fatal,,Incident Report,2018,,,,62C
G-31805-18,7,N I-10 Service Rd & Bullard Av,CLOSED,34S,AGGRAVATED BATTERY (SHOOTING),2018-07-25 23:46:00,,,,,,,,,,,,Non-fatal,,Supplemental Report,2018,,,,34S
G-31805-18,7,N I-10 Service Rd & Bullard Av,CLOSED,34S,AGGRAVATED BATTERY (SHOOTING),2018-07-25 23:46:00,,,,,,,,,,,,Non-fatal,,Supplemental Report,2018,,,,34s
G-31805-18,7,N I-10 Service Rd & Bullard Av,CLOSED,34S,AGGRAVATED BATTERY (SHOOTING),2018-07-25 23:46:00,,,,,,,,,,,,Non-fatal,,Supplemental Report,2018,,,,34S
G-35944-18,6,35XX Tchoupitoulas St,OPEN,103,DISTURBANCE,2018-07-29 08:57:00,,,,,,,REPORTING PERSON,BLACK,MALE,34.0,1.0,Non-fatal,,Incident Report,2018,,,,18
J-33374-18,8,2XX Bourbon St,OPEN,37,AGGRAVATED ASSAULT,2018-10-27 02:52:00,,,,,,,,,,,,Non-fatal,,Supplemental Report,2018,,,,37
J-33374-18,8,2XX Bourbon St,OPEN,37,AGGRAVATED ASSAULT,2018-10-27 02:52:00,,,,,,,,,,,,Non-fatal,,Supplemental Report,2018,,,,37
G-32056-18,7,75XX Avalon Wy,OPEN,64G,ARMED ROBBERY (GUN),2018-07-26 06:04:00,14 64,ARMED ROBBERY,BLACK,MALE,,1.0,VICTIM,BLACK,MALE,75.0,1.0,Non-fatal,,Incident Report,2018,,,,64G
G-32056-18,7,75XX Avalon Wy,OPEN,64G,ARMED ROBBERY (GUN),2018-07-26 06:04:00,14 64,ARMED ROBBERY,BLACK,FEMALE,,3.0,VICTIM,BLACK,MALE,75.0,1.0,Non-fatal,,Incident Report,2018,,,,64G
G-32056-18,7,75XX Avalon Wy,OPEN,64G,ARMED ROBBERY (GUN),2018-07-26 06:04:00,14 64,ARMED ROBBERY,BLACK,MALE,,2.0,VICTIM,BLACK,MALE,75.0,1.0,Non-fatal,,Incident Report,2018,,,,64G
F-28774-18,8,2XX Bourbon St,CLOSED,34C,AGGRAVATED BATTERY (CUTTING),2018-06-24 03:44:00,14 34.1,SECOND DEGREE BATTERY,BLACK,MALE,37.0,1.0,VICTIM,WHITE,MALE,18.0,1.0,Non-fatal,,Supplemental Report,2018,,,,34C
F-28774-18,8,2XX Bourbon St,CLOSED,34C,AGGRAVATED BATTERY (CUTTING),2018-06-24 03:44:00,14 34.1,SECOND DEGREE BATTERY,BLACK,MALE,37.0,1.0,VICTIM,BLACK,MALE,25.0,2.0,Non-fatal,,Supplemental Report,2018,,,,34C
F-28774-18,8,2XX Bourbon St,CLOSED,34C,AGGRAVATED BATTERY (CUTTING),2018-06-24 03:44:00,,,BLACK,MALE,37.0,1.0,WITNESS,BLACK,FEMALE,30.0,3.0,Non-fatal,,Supplemental Report,2018,,,,34C
G-01880-18,6,30XX 1st St,OPEN,966,DRUG LAW VIOLATION,2018-07-02 12:00:00,,,BLACK,MALE,40.0,1.0,VICTIM,,,,1.0,Non-fatal,,Incident Report,2018,,,,966
H-01218-18,5,20XX N Rocheblave St,OPEN,34S,AGGRAVATED BATTERY (SHOOTING),2018-08-01 22:17:00,14 34,AGG. BATTERY,,,,1.0,VICTIM,BLACK,MALE,31.0,1.0,Non-fatal,,Incident Report,2018,,,,34-S
H-01218-18,5,20XX N Rocheblave St,OPEN,34S,AGGRAVATED BATTERY (SHOOTING),2018-08-01 22:17:00,,,,,,1.0,INTERVIEW,BLACK,MALE,69.0,1.0,Non-fatal,,Incident Report,2018,,,,34-S
H-00921-18,8,19XX Saint Claude Av,OPEN,103,DISTURBANCE,2018-08-01 17:30:00,,,,,,,REPORTING PERSON,BLACK,MALE,34.0,1.0,Non-fatal,,Incident Report,2018,,,,20I
I-34996-18,8,5XX Dauphine St,OPEN,67,THEFT,2018-09-28 05:23:00,14 67,THEFT,,,,1.0,VICTIM,WHITE,MALE,22.0,1.0,Non-fatal,,Incident Report,2018,,,,67
G-20804-18,6,24XX 2nd St,OPEN,37,AGGRAVATED ASSAULT,2018-07-17 12:45:00,,,,,,,VICTIM,,,,1.0,Non-fatal,,Supplemental Report,2018,,,,37
G-33239-18,4,Dover Pl & Woodland Dr,OPEN,37,AGGRAVATED ASSAULT,2018-07-27 01:23:00,14 37.1,ASSAULT BY DRIVE BY SHOOTING,BLACK,MALE,,2.0,VICTIM,BLACK,MALE,2.0,4.0,Non-fatal,,Incident Report,2018,,,,34S
G-33239-18,4,Dover Pl & Woodland Dr,OPEN,37,AGGRAVATED ASSAULT,2018-07-27 01:23:00,14 37.1,ASSAULT BY DRIVE BY SHOOTING,BLACK,MALE,,1.0,VICTIM,BLACK,MALE,32.0,2.0,Non-fatal,,Incident Report,2018,,,,34S
