item_number,Signal Code,rtcc_footage_requested
e-31587-19,18,yes
e-31509-19,21,yes
d-40202-19,21,yes
e-29062-19,64G,yes
d-40202-19,21,yes
e-30667-19,30,yes
e-31977-19,20I,yes
e-32021-19,107,yes
e-32072-19,107,yes
e-25324-19,30-S,yes
d-20614-19,21,yes
e-06698-19,100,yes
e-32625-19,100,yes
e-32542-19,67,yes
e-32442-19,62C,yes
e-33130-19,34S,yes
e-33173-19,64J,yes
e-33231-19,20,yes
e-33371-19,20,yes
e-33348-19,100I,yes
e-33130-19,34 S,yes
e-33610-19,20,yes
e-33837-19,62 B,yes
e-33966-19,20I,yes
d-42087-19,100,yes
e-27221-19,67A,yes
e-34205-19,21,yes
e-33117-19,67AR,yes
e-34462-19,100,yes
e-34549-19,20,yes
e-34582-19,20I,yes
e-34730-19,20,yes
e-35380-19,20,yes
e-35465-19,95-G,yes
e-35489-19,64G,yes
e-35934-19,21,yes
e-36084-19,20,yes
e-35895-19,20,yes
e-35977-19,30S,yes
e-35977-19,30S,yes
e-35977-19,30S,yes
e-35632-19,62-C,yes
e-36383-19,67A,yes
e-36491-19,20,yes
e-36594-19,34S,yes
e-36556-19,64-G,yes
e-36411-19,64G,yes
e-35215-19,30,yes
e-37458-19,100,yes
e-16088-19,34S,yes
e-37476-19,100,yes
e-37679-19,20I,yes
e-37808-19,20,yes
e-37941-19,100,yes
e-37172-19,34C,yes
e-38214-19,65,yes
e-38351-19,18,yes
e-38315-19,62C,yes
e-38505-19,103,yes
e-38513-19,18,yes
e-38345-19,21,yes
e-38563-19,20,yes
e-38767-19,18,yes
e-38748-19,107,yes
e-38629-19,20,yes
e-38016-19,30S,yes
e-38956-19,94,yes
e-38214-19,65P,yes
e-38795-19,65,yes
e-39132-19,35,yes
e-38876-19,100,yes
e-38642-19,62 C,yes
e-39171-19,37,yes
e-39300-19,100,yes
e-39390-19,67-A,yes
e-38016-19,30S,yes
e-39843-19,20-I,yes
e-02411-19,67F,yes
e-40085-19,20,yes
d-20614-19,21,yes
e-38501-19,34,yes
e-40208-19,103,yes
e-40240-19,18,yes
e-38795-19,65,yes
e-40232-19,62C,yes
e-38990-19,67A,yes
e-40327-19,20,yes
e-40194-19,966,yes
e-40862-19,67-P,yes
e-40917-19,34S,yes
e-40897-19,107,yes
e-40967-19,20X,yes
e-40892-19,62C,yes
e-41180-19,107,yes
e-13039-19,21,yes
e-41321-19,20,yes
e-37139-19,62C,yes
e-38016-19,30S,yes
e-42348-19,34S,yes
e-42793-19,20,yes
e-38286-19,60C,yes
e-13039-19,21,yes
e-38016-19,30S,yes
e-43131-19,21,yes
e-36756-19,67A,yes
e-23667-19,37,yes
e-43301-19,35,yes
e-43663-19,20,yes
e-03207-19,30S,yes
e-43700-19,20,yes
e-43758-19,64G,yes
e-44028-19,21 - (10/28 involved),yes
e-44180-19,34S,yes
e-44316-19,18,yes
e-44372-19,18,yes
e-43063-19,67A,yes
e-44589-19,34S,yes
e-44589-19,34S,yes
e-43182-19,966,yes
e-45073-19,20,yes
e-03207-19,30-S,yes
f-00292-19,67 A,yes
f-00353-19,34C,yes
e-45254-19,64J,yes
e-45254-19,64J,yes
f-00637-19,20,yes
f-00497-19,59,yes
f-00083-19,24,yes
f-00768-19,100,yes
e-36594-19,34S,yes
e-45385-19,966,yes
f-00755-19,67,yes
f-01316-19,67,yes
e-44969-19,65,yes
f-01658-19,64G,yes
f-01816-19,103F,yes
f-01839-19,21,yes
e-45028-19,67,yes
f-01945-19,21F,yes
f-01979-19,20,yes
f-02059-19,20-I,yes
f-02081-19,20-I,yes
f-02086-19,100,yes
e-42850-19,67A,yes
f-02159-19,18,yes
f-02328-18,20I,yes
f-02916-19,20,yes
f-03529-19,20I,yes
f-02442-19,30S,yes
f-03835-19,20,yes
e-44969-19,65,yes
f-04201-19,65,yes
e-44987-19,62C,yes
f-04660-19,67A,yes
f-04025-19,64G,yes
e-43082-19,62C,yes
e-37139-19,62C,yes
f-02442-19,30S,yes
f-04929-19,20,yes
e-44901-19,67B,yes
e-29661-19,62C,yes
f-05175-19,20,yes
f-5230-19,30S,yes
f-05949-19,18,yes
f-06019-19,103F,yes
f-06100-19,18,yes
f-06096-19,103F,yes
f-01779-19,67A,yes
f-05851-19,62,yes
f-06294-19,20,yes
f-06439-19,20,yes
f-04025-19,64G,yes
e-43182-19,966,yes
f-06548-19,20I,yes
f-06760-19,20,yes
f-07151-19,21,yes
f-07416-19,18,yes
f-07684-19,21F,yes
e-43582-19,108,yes
f-07815-19,20X,yes
f-08025-19,107,yes
d-20614-19,21,yes
f-08103-19,20I,yes
f-08351-19,20,yes
f-08439-19,103,yes
f-08783-19,64G,yes
f-08286-19,30S,yes
f-05230-19,30S,yes
f-05683-19,65,yes
f-09411-19,37,yes
f-09635-19,20,yes
f-09576-19,94,yes
f-10045-19,64-G,yes
f-10566-19,20,yes
f-10405-19,100,yes
f-05230-19,30S,yes
f-11179-19,103D,yes
f-11324-19,20I,yes
f-11321-19,103,yes
f-11299-19,34S,yes
f-11796-19,21,yes
f-11578-19,20,yes
f-11707-19,20I,yes
f-09013-19,62C,yes
f-11519-19,62B,yes
f-10529-19,34S,yes
f-12068-19,37,yes
f-12337-19,20,yes
f-12359-19,20,yes
f-12324-19,62R,yes
f-12624-19,64G,yes
f-12624-19,64G,yes
f-12846-19,20,yes
f-11983-19,67,yes
f-12946-19,20,yes
f-05230-19,30S,yes
f-11519-19,62B,yes
f-13130-19,966,yes
f-13976-19,67-P,yes
f-13951-19,65,yes
f-14044-19,56,yes
f-14044-19,103D,yes
f-14185-19,18,yes
f-14241-19,20,yes
f-01779-19,67A,yes
f-06736-19,67A,yes
f-02666-19,67A,yes
e-38295-19,67A,yes
f-14829-19,103F,yes
f-15240-19,67A,yes
f-12723-19,62R,yes
f-15469-19,65 P,yes
f-15653-19,64G,yes
f-15772-19,20,yes
f-15764-19,100,yes
f-15765-19,20,yes
f-15844-19,103M,yes
f-12624-19,64G,yes
f-12624-19,64G,yes
f-12624-19,64G,yes
f-15809-19,65J,yes
e-27700-19,64,yes
f-13631-19,43,yes
f-15653-19,64G,yes
f-16984-19,67P,yes
f-17255-19,35D,yes
f-17536-19,20,yes
f-17701-19,64G,yes
f-17788-19,103F,yes
f-18006-19,966,yes
f-18249-19,20,yes
f-18659-19,82,yes
f-18784-19,20,yes
f-18778-19,20,yes
f-18784-19,20,yes
f-04768-19,62C,yes
f-19034-19,18,yes
f-19131-19,18,yes
f-19400-19,35,yes
f-19349-19;,43-B,yes
f-20085-19,20I,yes
f-20547-19,64 G,yes
f-21418-19,20-I,yes
f-21501 -19,100X,yes
f-20720-19,30S,yes
f-21659-19,67A,yes
f-21743 -19,20,yes
f-21851-19,103F,yes
f-08611-19,34S,yes
f- 22134-19,64-G,yes
f-22192-19,30 S,yes
f-22192-18,30S,yes
f-12624-19,64G,yes
f-21162-19,65P,yes
f-23072-19,20,yes
f-22192-19,30S,yes
f-21162-19,65P,yes
f-23239-19,20,yes
f-06940-19,94,yes
f-04545-19,62,yes
e-37119-19,34D,yes
e-29062-19,64G,yes
f-24065-19,21,yes
f-17556-19,67A,yes
f-24143-19,35,yes
f-24187-19,20I,yes
f-24254-19,100,yes
f-21934-19,65,yes
f-24568-19,94,yes
f-17009-19,64G,yes
f-24635-19,21,yes
f-24967-19,18,yes
f-25031-19,100,yes
f-25048-19,20,yes
f-25114-19,18,yes
f-25283-19,67P,yes
f-25305-19,95G,yes
f-25522-19,18,yes
f-25498-19,20,yes
f-25511-19,62R,yes
f-25986-19,20I,yes
f-26096-19,103F,yes
f-26156-19,65,yes
f-261317-19,21,yes
f-25283-19,67P,yes
f-26482-19,18,yes
f-09013-19,62C,yes
d-20614-19,21,yes
f-27030-19,20I,yes
f-20547-19,64G,yes
f-25734-19,34S,yes
f-27186-19,20,yes
f-25511-19,62-R,yes
f-28140-19,20,yes
f-05230-19,30S,yes
f-28730-19,100,yes
f-29135-19,30S,yes
f-29302-19,62C,yes
f-29812-19,20,yes
f-30392-19,103,yes
f-30551-19,103,yes
f-30764-19,62C,yes
f-29375-19,67A,yes
f-30954-19,20,yes
f-27737-19,65,yes
e-13039-19,21,yes
f-27737-19,65,yes
f-31496-19,94,yes
f-32002-19,20,yes
f-31496-19,94,yes
f-22701-19,67A,yes
f-30624-19,62C,yes
f-22192-19,30S,yes
f-22192-19,30S,yes
f-32427-19,56D,yes
f-32795-19,20,yes
f-32821-19,30 S,yes
f-29961-19,34-S,yes
f-33123-19,56,yes
f-33413-19,20,yes
f-33567-19,18,yes
f-33644-19,18,yes
f-33700-19,966,yes
f-33403-19,34S,yes
f-29961-19,34S,yes
e-13039-19,21,yes
f-32821-19,30S,yes
f-34275-19,34-S,yes
f-34177-19,966,yes
f-34319-19,966,yes
f-34378-19,95G,yes
f-33126-19,62 C,yes
f-27358-19,64,yes
f-34692-19,107,yes
f-34613-19 ;,21,yes
d-20614-19,21,yes
f-34815-19,64G,yes
f-35424-19,94,yes
e-13039-19,21,yes
f-35537-19,107,yes
f-35714-19,67A,yes
f-35913-19,966,yes
f-28190-19,67,yes
f-36249-19,34S,yes
f-36715-19,20X,yes
f-36249-19,34S,yes
f-37351-19,30S,yes
f-37287-19,30S,yes
f-34815-19,64-G,yes
f-37683-19,37,yes
f-37258-19,56,yes
f-37728-19,107,yes
f-37824-19,35,yes
f-37865-19,103F,yes
f-37918-19,18,yes
e-13039-19,21,yes
f-37287-19,30S,yes
f-38755-19,35D,yes
f-38851-19,35,yes
f-38983-19,107,yes
f-39032-19,64 J,yes
f-39120-19,35D,yes
f-39202-19,100,yes
f-39486-19,64G,yes
f-39739-19,20,yes
f-39748-19,67F,yes
f-39890-19,67S,yes
f-39882-19,65,yes
f-35922-19,64J,yes
f-40044-19,34 C,yes
f-38996-19,37,yes
f-40470-19,30,yes
f-40512-19,35,yes
f-40470-19,30S,yes
f-40470-19,30S,yes
f-40697-19,20,yes
f-40470-19,30S,yes
f-40908-19,103F,yes
g-00021-19,62 C,yes
g-00102-19,103,yes
g-00130-19,107,yes
g-00148-19,64-G Armed Robbery w/ Gun,yes
g-00474-19,100,yes
g-00377-19,100,yes
g-00703-19,94,yes
g-00899-19,20I,yes
f-32772-19,21,yes
f-36534-19,62B,yes
f-40470-19,30S,yes
g-01309-19,27-64G,yes
g-01595-19,20I,yes
g-01917-19,20,yes
g-02122-19,966,yes
f-35495-19,34S,yes
d-20614-19,21,yes
e-13039-19,21,yes
g-02298-19,966,yes
f-36354-19,62B,yes
g-02146-19,30S,yes
g-02374-19,29,yes
g-02756-19,64G,yes
g-03159-19,18,yes
f-36745-19,67A,yes
g-03341-19,20,yes
f-36249-19,34S,yes
g-02146-19,30S,yes
g-03614-19,20,yes
g-03708-19,107,yes
g-04035-19,20,yes
g-04056-19,20,yes
g-04141-19,30 S,yes
g-04276-19,20,yes
g-04141-19,30-S,yes
g-04225-19,94,yes
g-04671-19,18,yes
g-04918-19,20,yes
g-05108-19,20,yes
g-05108-19,20,yes
g-05280-19,103F,yes
g-05635-19,103-F,yes
g-06146-19,20,yes
g-06565-19,20,yes
g-06923-19,20I,yes
g-06940-19,52,yes
g-07050-19,20,yes
g-07403-19,56,yes
g-07523-19,18,yes
g-07513-19,64J,yes
f-22542-19,20,yes
g-07423-19,20,yes
g-07899-19,107,yes
f-36715-19,20X,yes
g-08095-19,62,yes
g-08461-19,20I,yes
g-08581-19,18,yes
g-08644-19,30-S,yes
g-08851-19,103-F,yes
g-09354-19,95G,yes
g-06381-19,67A,yes
f-40470-19,30S,yes
g-10491-19,34,yes
g-10526-19,18,yes
g-02146-19,30S,yes
g-10581-19,18,yes
g-10626-19,34S,yes
g-05133-19,67A,yes
g-10863-19,20,yes
g-10867-19,20,yes
g-10936-19,20,yes
g-09406-19,64G,yes
g-11080-19,20,yes
g-11080-19,20 I,yes
g-11152-19,103F,yes
g-10865-19,67-S,yes
g-11834-19,20,yes
g-11102-19,67A,yes
d-20614-19,21,yes
g-13184-19,103F,yes
g-09757-19,64G,yes
g-14356-19,20,yes
g-14356-19,20,yes
g-14401-19,62C,yes
g-14481-19,94,yes
g-14952-19,107,yes
g-15028-19,65P,yes
g-14619-19,30S,yes
g-10626-19,34S,yes
f-23367-19,64G,yes
g-14919-19,37,yes
g-15729-19,20,yes
g-15759-19,34S,yes
g-15759-19,34S,yes
g-15922-19,20,yes
g-15917-19,20,yes
g-16428-19,35D,yes
g-16788-19,100,yes
g-17045-19,37,yes
g-17055-19,21,yes
g-18075-19,20,yes
f-22396-19,43- B,yes
g-18362-19,64,yes
g-18610-19,103,yes
g-18949-19,20I,yes
g-19089-19,20-I,yes
g-19323-19 ;,67 A,yes
g-19747-19,20,yes
g-19726-19,100 F,yes
g-19928-19,21,yes
g-20049-19,20,yes
g-11299-19,103,yes
g-20537-19,37,yes
g-20686-19,67,yes
g-20888-19,65,yes
g-21299-19,65,yes
g-21134-19,35,yes
g-21378-19,107,yes
g-21443-19,100,yes
g-21299-19,65,yes
g-21299-19,65,yes
g-18906-19,PIB,yes
g-22297-19,62C,yes
g-22715-19,67A,yes
g-23003-19,18,yes
g-12927-19,100,yes
g-23126-19,20,yes
g-21675-19,67A,yes
g-23629-19,103,yes
g-10314-19,65,yes
g-23960-19,103 F,yes
g-24244-19,64-G,yes
g-24979-19,20,yes
g-24985-19,100,yes
g-25112-19,95G,yes
d-20614-19,21,yes
g-25144-19,94,yes
g-25215-19,20,yes
g-25340-19,65P,yes
g-25161-19,55,yes
g-25405-19,21,yes
g-25030-19,62 R,yes
g-25526-19,103F,yes
g-25547-19,21,yes
g-25630-19,21,yes
g-25676-19,35,yes
g-25451-19,64,yes
g-25634-19,34-S,yes
g-25795-19,103F,yes
g-26253-19,103,yes
g-26185-19,20I,yes
g-25451-19,64,yes
g-26484-19,20,yes
f-34378-19,95G,yes
g-26780-19,20,yes
f-40402-19,38,yes
g-26700-19,35,yes
g-26958-19,20,yes
g-27064-19,65,yes
g-27174-19,20I,yes
g-27305-19,20-I,yes
g-27299-19,35,yes
g-27507-19,100I,yes
g-27759-19,103-F,yes
g-27782-19,20,yes
rtcc-7218,21-F (x16),yes
g-27935-19,107,yes
g-28538-19,103-F,yes
g-28315-19,34S,yes
g-28538-19,35,yes
g-28564-19,65,yes
g-28999-19,20I,yes
rtcc-7228,21F  (x2),yes
g-29165-19,103F,yes
g-29209-19,37,yes
g-29486-19,64K,yes
g-29708-19,34C,yes
g-25451-19,64,yes
g-26780-19,20,yes
g-30069-19,18,yes
g-30322-19,20,yes
21f/rtcc 7248,21F,yes
g-30605-19,20,yes
g-30621-19,64 K,yes
g-30265-19,64K,yes
g-30821-19,94,yes
g-30715-19,64-G,yes
g-30925-19,103,yes
g-30768-19,34-C,yes
g-31099-19,21,yes
g-31422-19,20,yes
g-31564-19,64,yes
g-31713-19,18,yes
g-31740-19,18,yes
g-31662-19,95G,yes
g-31792-19,18,yes
rtcc 7268,21F,yes
g-32278-19,20,yes
g-32388-19,30 S,yes
g-32143-19,100-I,yes
g-32286-19,21,yes
g-32429-19,21,yes
g-32453-19,103,yes
g-32585-19,94,yes
g-32893-19,67A,yes
g-28289-19,37,yes
g-33179-19,20,yes
g-33352-19,64G,yes
g-34071-19,62 B,yes
g-34072-19,65,yes
g-34097-19,64J,yes
g-21173-19,62 B,yes
g-34550-19,94,yes
g-27255-19,67 A,yes
g-34900-19,20I,yes
g-35153-19,20I,yes
g-35703-19,18,yes
rtcc7316,27-30,yes
g-35812-19,20,yes
g-35892-19,20,yes
g-36011-19,20,yes
g-35952-19,18,yes
g-32388-19,30S,yes
g-36503-19,35D,yes
g-36750-19,94,yes
g-36764-19,67-A,yes
g-36760-19,64 G,yes
g-36811-19,103F,yes
g-36800-19,67 P,yes
g-36893-19,103F,yes
g-36937-19,103F,yes
g-36963-19,103F,yes
g-36999-19,103,yes
g-37047-19,18,yes
g-37472-19,18,yes
g-37352-19,34S,yes
g-37859-19,21,yes
g-37964-19,103-F,yes
g-38123-19,95-G,yes
g-38755-19,21,yes
g-38769-19,20I,yes
g-38768-19,20 I,yes
g-39048-19,20I,yes
g-39282-19,35,yes
rtcc 7358,21F,yes
g-39839-19,21,yes
g-33924-19,67A,yes
g-39313-19,64G,yes
g-36688-19,62C,yes
g-40115-19,67-S,yes
g-40574-19,21 (100 inv),yes
g-36937-19,103F,yes
g-38123-19,37,yes
multiple,21F,yes
f-36833-19,966,yes
g-38009-19,62C,yes
g-41065-19,67A,yes
g-36503-19,35D,yes
g-41203-19,21ID,yes
g-41362-19,20,yes
g-37908-19,67A,yes
g-41560-19,37,yes
g-40337-19,34-S,yes
g-41558-19,100,yes
g-42168-19,20,yes
g-36937-19,103D,yes
g-37908-19,67A,yes
g-42365-19,20I,yes
g-41158-19,21F,yes
g-40731-19,64G,yes
g-36760-19,64G,yes
g-42871-19,67A,yes
g-25886-19,62 C,yes
g-42326-19,67 A,yes
g-43370-19,64 G,yes
h-00124-19,103,yes
h-00052-19,67-B,yes
h-00168-19,29-U,yes
h-00058-19,34 S,yes
h-00371-19,18,yes
g-38855-19,62C,yes
h-00013-19,65,yes
g-43370-19,64G,yes
h-01160-19,103,yes
h-01177-19,34-S,yes
h-01494-19,103,yes
h-01634-19,103F,yes
h-01648-19,67,yes
h-01925-19,20,yes
g-36760-19,64G,yes
g-34220-19,100,yes
g-38323-19,62C,yes
h-02335-19,20I,yes
h-02564-19,20,yes
h-02720-19,79,yes
h-02586-19,20I,yes
h-03174-19,20,yes
h-03220-19,24,yes
h-03479-19,62B,yes
h-04345-19,34-D,yes
h-04152-19,62C,yes
h-04086-19,67B,yes
h-04445-19,66,yes
h-03668-19,62,yes
h-04486-19,21,yes
h-05090-19,62,yes
h-02564-19,20,yes
h-02899-19,21-M,yes
h-05682-19,103-F,yes
h-05624-19,35D,yes
h-05554-19,65,yes
h-05742-19,35,yes
h-06079-19,18,yes
h-06247-19,20,yes
g-25667-19,966,yes
g-41203-19,21,yes
g-25886-19,62C,yes
h-06541-19,94,yes
h-07035-19,103M,yes
h-07065-19,21,yes
h-07648-19,20I,yes
h-07673-19,100-I,yes
h-07700-19,20,yes
h-07526-19,62C,yes
h-07698-19,966,yes
h-03219-19,42,yes
h-07730-19,107,yes
d-20614-19,21,yes
h-07759-19,95G,yes
h-07018-19,67A,yes
h-08101-19,20,yes
h-08409-19,34S,yes
h-08441-19,35,yes
h-08474-19,20,yes
h-08483-19,94,yes
h-08587-19,18,yes
h-09007-19,21,yes
h-09306-19,20,yes
h-01394-19,30S,yes
h-10235-19,62A,yes
h-10276-19,64G,yes
h-10617-19,20,yes
h-10944-19,966,yes
h-11226-19,20,yes
h-11862-19,20,yes
h-12115-19,18,yes
h-11675-19,62B,yes
h-11659-19,94,yes
g-22823-19,62 R,yes
h-12974-19,62C,yes
h-13404-19,20,yes
h-13930-19,103F,yes
h-14084-19,52F,yes
h-14037-19,64 G,yes
h-14260-19,35D,yes
h-14296-19,65P,yes
h-14123-19,100,yes
h-14317-19,65,yes
h-11659-19,94,yes
h-14080-19,30S,yes
h-15103-19,103F,yes
h-14505-19,64 K,yes
h-15266-19,103,yes
h-15434-19,21,yes
h-15514-19,65,yes
h-15549-19,30 S,yes
h-15537-19,34S,yes
h-15811-19,20,yes
h-15866-19,100,yes
h-16218-19,62R,yes
h-13813-19,37,yes
h-16300-19,100,yes
h-16595-19,65,yes
h-17391-19,20I,yes
h-17055-19,37,yes
h-17082-19,20I,yes
h-01634-19,103F,yes
d-20614-19,21,yes
h-16178-19,67A,yes
h-15378-19,67A,yes
h-13128-19,37,yes
g-36457-19,64G,yes
h-13128-19,37,yes
h-18576-19,62C,yes
"62c, h-16502-19",62C,yes
h-18886-19,20,yes
h-17868-19,67A,yes
h-18968-19,100I,yes
h-18982-19,35,yes
h-19193-19,37,yes
h-18246-19,44,yes
h-19337-19,103,yes
h-19206-19,100,yes
h-19378-19,20,yes
h-19488-19,64 G,yes
h-19588-19,67P,yes
h-19488-19,64-G,yes
h-20056-19,18,yes
h-20047-19,21,yes
g-23362-18,21,yes
h-20341-19,103F,yes
h-18246-19,67A,yes
h-20099-19,21,yes
h-20619-19,20,yes
h-20723-19,20,yes
h-20726-19,103F,yes
h-20520-19,21,yes
h-20781-19,67 A,yes
h-20956-19,34,yes
h-20953-19,37,yes
l-04437-18,966,yes
h-21774-19,20,yes
h-19797-19,64G,yes
h-22480-19,35,yes
h-22545-19,35,yes
h-22659-19,64G,yes
h-22754-19,103f,yes
h-22890-19,20,yes
h-23191-19,20I,yes
h-23222-19,20,yes
h-22667-19,64G,yes
h-23832-19,20I,yes
h-23859-19,20,yes
h-23968-19,20,yes
h-23998-19,37,yes
h-24239-19,103,yes
h-24382-19,20,yes
h-25348-19,103,yes
h-25389-19,21,yes
h-25536-19,18,yes
h-25542-19,17M,yes
h-25603-19,103F,yes
h-07730-19,95G,yes
h-25845-19,966,yes
h-25751-19,966,yes
h-25681-19,21,yes
h-25984-19,20I,yes
h-15378-19,67A,yes
h-26050-19,94,yes
g-33097-19,20,yes
h-23955-19,34 C,yes
h-24183-19,27/64K,yes
h-26536-19,103D,yes
h-26678-19,34 S,yes
h-15378-19,67A,yes
h-26877-19,20,yes
h-23997-19,64G,yes
h-04705-19,43,yes
h-27149-19,62R,yes
h-26228-19,95,yes
h-27135-19,18,yes
h-25681-19,21,yes
h-27640-19,20,yes
h-27675-19,103,yes
h-27749-19,103F,yes
h-27965-19,21,yes
h-27885-19,64 G,yes
h-28183-19,103 F,yes
h-28063-19,62-R,yes
h-28456-19,20,yes
h-26678-19,34S,yes
h-28344-19,62C,yes
h-19193-19,27-64K,yes
h-24183-19,64K,yes
h-25939-19,21,yes
h-29748-19,65,yes
h-29841-19,107,yes
h-29862-19,20,yes
h-29903-19,966,yes
h-30053-19,20,yes
h-29404-19,30S,yes
h-29957-19,966,yes
h-29974-19,966,yes
h-30564-19,30S,yes
h-27552-19,42,yes
h-31388-19,20,yes
h-31399-19,20,yes
h-31421-19,20I,yes
h-31443-19,20,yes
h-31466-19,20,yes
h-15611-19,62C,yes
h-30564-19,30S,yes
h-32091-19,20,yes
h-32133-19,20,yes
h-32295-19,103,yes
h-32388-19,103,yes
h-32481-19,21,yes
h-32276-19,30-S,yes
h-32453-19,21,yes
h-32837-19,18,yes
h-32852-19,18,yes
h-32857-19,20,yes
h-20592-19,62C,yes
h-33167-19,100,yes
h-33316-19,20,yes
h-33336-19,20,yes
h-33368-19,106,yes
g-23362-18,21,yes
h-33494-19,21,yes
h-33619-19,34S,yes
h-33572-19,966,yes
h-33758-19,20I,yes
h-33995-19,103F,yes
h-34078-19,103F,yes
h-34114-19,65,yes
h-34445-19,20I,yes
h-34474-19,18,yes
h-34483-19,20,yes
h-32276-19,30 S,yes
h-34790-19,103F,yes
h-34867-19,103F,yes
h-34913-19,103F,yes
h-34961-19,35,yes
h-35304-19,107,yes
h-35433-19,20,yes
h-35579-19,21,yes
h-35744-19,20I,yes
rtcc 7913,21F,yes
h-35675-19,67,yes
h-36190-19,20I,yes
g-23362-18,21,yes
h-36421-19,34S,yes
h-36778-19,103,yes
h-36974-19,20I,yes
h-37020-19,20,yes
h-36251-19,67A,yes
g-23362-18,21,yes
h-38285-19,37,yes
h-37731-19,67A,yes
h-16224-19,62C,yes
l-04437-18,966,yes
h-38791-19,20,yes
h-30637-19,966,yes
h-39434-19,18,yes
h-39194-19,18,yes
h-38529-19,62B,yes
h-39400-19,20,yes
h-39572-19,20I,yes
h-39331-19,37,yes
h-39505-19,37,yes
h-39505-19;,37,yes
h-39901-19,21,yes
h-40290-19,18,yes
h-40346-19,20,yes
g-23362-18,21,yes
h-40479-19,20,yes
h-40522-19,20,yes
h-40801-19,20,yes
h-40874-19,20,yes
h-40860-19,20,yes
h-41091-19,20,yes
h-40801-19,20,yes
h-23976-19;,65,yes
h-41042-19,103F,yes
h-41658-19,20,yes
h-41788-19,20,yes
h-41565-19,"35,27- 67S",yes
h-40027-19,62C,yes
h-41225-19,65,yes
h-42427-19,20,yes
h-42700-19,65,yes
h-43134-19,20,yes
h-43289-19,107,yes
h-43814-19,20,yes
h-43812-19,35,yes
h-43801-19,35,yes
h-44028-19,64J,yes
h-44093-19,64G,yes
i-00265-19,34C,yes
i-00336-19,63,yes
i-00288-19,62C,yes
i-00770-19,20I,yes
i-00781-19,20,yes
i-00791-19,20,yes
i-00825-19,103,yes
i-00969-19,20I,yes
i-00974-19,35,yes
i-00933-19,18,yes
h-43882-19,43MB,yes
i-01392-19,37,yes
h-44093-19,64G,yes
i-01499-19,21,yes
i-01407-19,34C,yes
i-01499-19,21,yes
i-01739-19,21,yes
i-01839-19,20,yes
i-02030-19,21-F,yes
i-02041-19,37D,yes
h-42427-19,100,yes
i-01946-19,55,yes
h-27809-19,67 F,yes
h-42758-19,42,yes
i-02830-19,103,yes
i-02883-19,20,yes
i-02924-19,103F,yes
i-02928-19,20,yes
i-03011-19,107,yes
i-03205-19,20,yes
i-03472-19,20C,yes
h-42679-19,64G,yes
i-03899-19,34 S,yes
i-04017-19,56,yes
i-04117-19,64-G,yes
i-04212-19,67,yes
i-03899-19,30S,yes
i-04475-19,966,yes
h-10635-19,37,yes
i-04498-19,966,yes
i-01228-19,100,yes
d-04960-19,67A,yes
i-03572-19,103F,yes
i-05245-19,107,yes
i-05310-19,100,yes
i-05443-19,103F,yes
i-05642-19,21,yes
i-05678-19,35,yes
i-04899-19,34S,yes
i-05853-19,20,yes
i-05902-19,20,yes
i-05882-19,100,yes
i-06128-19,20,yes
i-04988-19,34S,yes
i-06549-19,20,yes
i-06552-19,20I,yes
i-07230-19,20,yes
i-07225-19,20,yes
i-07558-19,20,yes
i-07565-19,20,yes
i-07628-19,103,yes
i-07660-19,20,yes
h-14510-19,64G,yes
i-02068-19,67A,yes
i-07780-19,100,yes
i-07692-19,18,yes
i-08164-19,103F,yes
i-08733-19,62,yes
i-08530-19,103,yes
i-07969-19,37,yes
i-08494-19,34-S,yes
i-08581-19,35,yes
i-08640-19,103F,yes
i-08802-19,21,yes
i-08915-19,20,yes
i-08926-19,20,yes
i-08994-19,37,yes
i-09117-19,20,yes
i-09123-19,20,yes
i-09445-19,100,yes
i-08692-19,64 G,yes
i-09557-19,103F,yes
i-09831-19,20,yes
i-09818-19,64-K,yes
i-09972-19,20,yes
i-10149-19,20,yes
i-08994-19,37,yes
i-10272-19,20,yes
i-10318-19,20,yes
i-10461-19,20,yes
i-10447-19,34S,yes
i-07969-19,37,yes
i-10636-19,20,yes
i -10413-19,20,yes
i-11337-19,35,yes
i-11445-19,20,yes
h-30564-19,30s,yes
i-11517-19,20I,yes
i-11665-19,20,yes
i-11481-19,67A,yes
i-11886-19,20I,yes
i-11893-19,67,yes
h-30564-19,30S,yes
i-12009-19,20,yes
i-11996-19,20,yes
i-12142-19,94,yes
i-12176-19,20,yes
i-07969-19,37,yes
i-12317-19,20,yes
i-05678-19,65,yes
i-08673-19,65,yes
i-11039-19,64J,yes
i-11983-19,67A,yes
i-10447-19,30S,yes
i-13352-19,966,yes
i-10447-19,30S,yes
i-13365-19,20,yes
i-13183-19,37,yes
i-13489-19,966,yes
i-08733-19,62,yes
i-13627-19,95G,yes
i-13653-19,20,yes
i-08692-19,64G,yes
i-13931-19,20,yes
h-30564-19,30-S,yes
i-14215-19,20,yes
i-14218-19,56,yes
i-14418-19,18,yes
i-10756-19,62C,yes
i-14438-19,966,yes
i-14593-19,20I,yes
i-14780-19,20,yes
i-14773-19,966,yes
i-14840-19,37,yes
i-14849-19,20,yes
i-14875-19,20,yes
i-14889-19,18,yes
i -14875-19,20,yes
i-15064-19,34S,yes
i-15144-19,64 J,yes
i-15323-19,63,yes
i-15110-19,67-P,yes
i-15274-19,966,yes
