item_number,Signal Code,Upon Researching the above item :
C-17931-22,20I,Relevant video was found
C-17875-22,34S,Relevant video was found
C-18188-22,64J,Relevant video was found
C-18229-22,35D,Relevant video was found
C-18173-22,94,No relevant video was found
C-18338-22,20,Relevant video was found
B-29428-22,100I,Relevant video was found
C-18790-22,20I,Relevant video was found
C-18857-22,20,Relevant video was found
C-18894-22,37,Relevant video was found
C-19135-22,34S,No relevant video was found
C-19250-22,20I,Relevant video was found
C-19084-22,100i,No relevant video was found
C-17875-22,34S,Relevant video was found
C-10462-22,67A,No relevant video was found
C-19574-22,20I,Relevant video was found
C-19701-22,20,No relevant video was found
C-19719-22,21,Relevant video was found
C-19698-22,20,Relevant video was found
C-19830-22,103,Relevant video was found
C-19875-22,37,No relevant video was found
C-20027-22,20,No relevant video was found
C-20156-22,20-I,No relevant video was found
C-20245-22,20,Relevant video was found
C-20017-22,100,No relevant video was found
C-20247-22,34C,No relevant video was found
C-20304-22,103F,Relevant video was found
C-21033-22,100-I,Relevant video was found
C-19795-22,20,Relevant video was found
C-19834-22,20,Relevant video was found
B-29428-22,100I,Relevant video was found
C-20158-22,20,Relevant video was found
C-22065-22,20C,Relevant video was found
C-21372-22,30S,Relevant video was found
C-22339-22,20,Relevant video was found
C-12470-22,64G,Relevant video was found
C-22367-22,20I,No relevant video was found
C-22287-22,34S,Relevant video was found
C-22448-22,95G,Relevant video was found
B-21293-22,30,Relevant video was found
C-20533-22,20I,Relevant video was found
C-20603-22,106,Relevant video was found
C-20818-22,35,Relevant video was found
C-20411-22,20,Relevant video was found
C-20439-22,20,No relevant video was found
C-20465-22,20,No relevant video was found
C-20478-22,20,No relevant video was found
C-21400-22,24,Relevant video was found
C-21411-22,20,No relevant video was found
C-21470-22,20,Relevant video was found
C-21531-22,100I,Relevant video was found
C-21621-22,20I,No relevant video was found
C-20347-22,62B,No relevant video was found
C-20354-22,107,No relevant video was found
C-20587-22,99,Relevant video was found
C-19604-22,34C,Relevant video was found
C-20674-22,35,No relevant video was found
C-20497-22,20 I,Relevant video was found
C-15160-22,67A,Relevant video was found
C-20768-22,64 J,No relevant video was found
C-20952-22,20,No relevant video was found
C-21083-22,20,Relevant video was found
C-20943-22,20,Relevant video was found
C-21878-22,42,Relevant video was found
C-22287-22,34S,Relevant video was found
C-22371-22,20,Relevant video was found
C-10768-22,27-64G,Relevant video was found
C-22415-22,20I,Relevant video was found
C-22625-22,18,Relevant video was found
C-22738-22,21,Relevant video was found
C-20533-22,20I,Relevant video was found
C-21168-22,20,Relevant video was found
C-20936-22,67A,Relevant video was found
C-20936-22,67A,Relevant video was found
C-21259-22,20I,Relevant video was found
C-22598-22,20 I,Relevant video was found
C-22646-22,99,Relevant video was found
C-22713-22,65 J,No relevant video was found
C-22745-22,20,No relevant video was found
C-21426-22,18,Relevant video was found
C-21429-22,18,Relevant video was found
C-21500-22,18,Relevant video was found
C-21889-22,65,No relevant video was found
C-22534-22,20,No relevant video was found
C-22558-22,20,Relevant video was found
C-22756-22,20,No relevant video was found
C-22798-22,56,Relevant video was found
C-21372-22,30 S,Relevant video was found
C-07399-22,65P,Relevant video was found
C-19604-22,34 C,Relevant video was found
C-21582-22,34S,Relevant video was found
C-21707-22,106,Relevant video was found
C-21653-22,67A,No relevant video was found
C-21801-22,30S,Relevant video was found
C-22586-22,18,Relevant video was found
C-22878-22,58R,No relevant video was found
C-22901-22,30S,Relevant video was found
C-22978-22,20,Relevant video was found
C-23015-22,20,Relevant video was found
C-23134-22,67,No relevant video was found
C-23004-22,67C,Relevant video was found
C-23199-22,100,Relevant video was found
C-23528-22,20I,Relevant video was found
C-15139-22,67A,Relevant video was found
C-23597-22,20,Relevant video was found
C-26209-22,100,No relevant video was found
C-25913-22,100,No relevant video was found
C-27649-22,34S,Relevant video was found
C-26431-22,100I,No relevant video was found
C-27246-22,20,Relevant video was found
C-27425-22,34 S,Relevant video was found
C-27555-22,34 S,Relevant video was found
C-27724-22,67,Relevant video was found
C-27319-22,64 J,Relevant video was found
C-27832-22,65,Relevant video was found
C-23130-22,20,No relevant video was found
C-23121-22,65,Relevant video was found
C-22166-22,100,Relevant video was found
C-22713-22,65J,Relevant video was found
C-26099-22,100,Relevant video was found
C-26226-22,20I,No relevant video was found
C-24117-22,67A,Relevant video was found
C-17815-22,18A,No relevant video was found
C-27319-22,64,Relevant video was found
C-27524-22,94,No relevant video was found
C-25662-22,30S,Relevant video was found
C-27912-22,20,No relevant video was found
C-27904-22,21,Relevant video was found
C-27981-22,27-45,Relevant video was found
C-28265-22,20,No relevant video was found
C-28293-22,20,No relevant video was found
C-28259-22,100,No relevant video was found
C-11663-22,62B,Relevant video was found
C-24864-22,34S,Relevant video was found
C-09629-22,64J,Relevant video was found
C-26846-22,62C,Relevant video was found
C-25487-22,30S,Relevant video was found
C-27134-22,21,Relevant video was found
C-16848-22,30S,Relevant video was found
C-27246-22,20,Relevant video was found
C-27294-22,103F,Relevant video was found
C-29286-22,107,Relevant video was found
C-29763-22,56,No relevant video was found
C-29765-22,29ST,No relevant video was found
C-29286-22,107,Relevant video was found
C-22713-22,65J,Relevant video was found
C-23905-22,107,No relevant video was found
C-23663-22,20,No relevant video was found
C-23933-22,20,No relevant video was found
C-23961-22,34C,Relevant video was found
C-24133-22,59,No relevant video was found
C-24185-22,56D,No relevant video was found
C-26627-22,20-I,No relevant video was found
C-23597-22,20,Relevant video was found
C-23886-22,62R,No relevant video was found
C-24015-22,21J,Relevant video was found
C-24024-22,37,Relevant video was found
C-24232-22,20,Relevant video was found
C-24614-22,27/67,Relevant video was found
C-24798-22,34S,Relevant video was found
C-24873-22,100,Relevant video was found
C-18092-22,30S,Relevant video was found
C-24786-22,20i,No relevant video was found
C-24969-22,94,No relevant video was found
C-23006-22,64J,Relevant video was found
C-15160-22,67A,Relevant video was found
C-18092-22,30S,Relevant video was found
C-27962-22,21ID,Relevant video was found
C-27832-22,64,Relevant video was found
C-27981-22,27/45,Relevant video was found
C-28352-22,20,Relevant video was found
E-34938-21,21,Relevant video was found
C-22901-22,30S,Relevant video was found
C-28480-22,20,Relevant video was found
C-30685-22,30S,Relevant video was found
C-24354-22,20,No relevant video was found
C-24271-22,20,Relevant video was found
C-24627-22,64J,No relevant video was found
C-23385-22,30,Relevant video was found
C-09500-22,37,Relevant video was found
C-24801-22,64J,Relevant video was found
C-29451-22,37,No relevant video was found
C-30287-22,20C,Relevant video was found
C-30530-22,20,Relevant video was found
C-24853-22,20I,No relevant video was found
C-25270-22,64G,No relevant video was found
C-25275-22,35,Relevant video was found
C-25289-22,34C,No relevant video was found
C-25338-22,20I,Relevant video was found
C-27341-22,20,No relevant video was found
C-24560-22,20I,Relevant video was found
C-25284-22,64G,Relevant video was found
C-25487-22,30S,No relevant video was found
C-25577-22,20,Relevant video was found
C-08496-22,34S,Relevant video was found
C-25784-22,20,No relevant video was found
C-25531-22,67A,No relevant video was found
C-21878-22,42,Relevant video was found
C-25662-22,30S,Relevant video was found
C-25985-22,100,No relevant video was found
C-29175-22,20,Relevant video was found
C-25662-22,30S,Relevant video was found
C-29531-22,20,No relevant video was found
C-25396-22,20-I,No relevant video was found
C-25699-22,103F,No relevant video was found
C-23385-22,30,Relevant video was found
C-25752-22,34S,Relevant video was found
C-20768-22,64J,Relevant video was found
C-27158-22,55,Relevant video was found
C-27461-22,103F,No relevant video was found
C-27554-22,100I,No relevant video was found
C-22166-22,100,Relevant video was found
C-25514-22,20I,Relevant video was found
C-25487-22,30S,Relevant video was found
C-25752-22,34S,Relevant video was found
C-25662-22,30S,Relevant video was found
C-26076-22,107,No relevant video was found
C-26236-22,20 I,Relevant video was found
C-25662-22,30 S,Relevant video was found
C-26502-22,21,No relevant video was found
C-27059-22,20I,No relevant video was found
C-30173-22,100I,Relevant video was found
C-30339-22,20I,Relevant video was found
C-25662-22,34S,No relevant video was found
C-27129-22,103,No relevant video was found
C-27138-22,1028P,Relevant video was found
C-28426-22,20I,Relevant video was found
C-28950-22,35D,No relevant video was found
C-29713-22,20,No relevant video was found
C-29861-22,18,Relevant video was found
C-29863-22,35,No relevant video was found
C-29984-22,94,No relevant video was found
C-30074-22,34,Relevant video was found
C-30027-22,94,No relevant video was found
C-23385-22,30,Relevant video was found
C-30722-22,37,Relevant video was found
C-30889-22,37,Relevant video was found
C-23121-22,65,Relevant video was found
C-27811-22,103F,Relevant video was found
C-22901-22,30S,Relevant video was found
C-24045-22,62C,No relevant video was found
C-28480-22,20,Relevant video was found
C-29326-22,20,Relevant video was found
C-29391-22,100I,Relevant video was found
C-29653-22,20,Relevant video was found
C-25752-22,30S,Relevant video was found
C-28561-22,55,Relevant video was found
C-27429-22,34S,Relevant video was found
C-28885-22,100,Relevant video was found
C-29116-22,100,Relevant video was found
C-30749-22,34S,Relevant video was found
C-30783-22,20I,No relevant video was found
C-30775-22,20I,No relevant video was found
C-30756-22,20,No relevant video was found
C-30979-22,20,No relevant video was found
C-31014-22,94,No relevant video was found
C-30995-22,34S,No relevant video was found
C-31008-22,67,Relevant video was found
C-30988-22,64J,Relevant video was found
C-30977-22,21,Relevant video was found
C-31114-22,34C,No relevant video was found
C-30109-22,52F,Relevant video was found
C-30104-22,107,No relevant video was found
C-30133-22,64J,Relevant video was found
C-30170-22,35D,Relevant video was found
C-30173-22,100I,Relevant video was found
C-30191-22,103,No relevant video was found
C-30187-22,18,Relevant video was found
C-30188-22,107,Relevant video was found
C-31156-22,64J,Relevant video was found
C-31220-22,94,No relevant video was found
C-31320-22,20,Relevant video was found
C-31318-22,107,Relevant video was found
C-34597-22,94,Relevant video was found
C-31250-22,100I,Relevant video was found
C-31328-22,20,No relevant video was found
C-00625-22,95G,Relevant video was found
C-01009-22,95G,Relevant video was found
C-01013-22,95G,Relevant video was found
C-01052-22,95G,Relevant video was found
C-00385-22,95G,Relevant video was found
C-31949-22,20,Relevant video was found
C-31522-22,100,Relevant video was found
C-31067-22,65P,Relevant video was found
C-28987-22,27-64J,Relevant video was found
C-31891-22,20I,Relevant video was found
C-00800-22,35,Relevant video was found
C-00946-22,95G,Relevant video was found
C-17177-22,65,Relevant video was found
C-25037-22,64J,Relevant video was found
C-30133-22,64J,Relevant video was found
C-31882-22,20C,Relevant video was found
C-32434-22,30S,No relevant video was found
C-01127-22,95G,Relevant video was found
C-32543-22,20-I,No relevant video was found
C-32542-22,20,No relevant video was found
C-32712-22,100,No relevant video was found
C-32717-22,103,No relevant video was found
C-01804-22,20,Relevant video was found
C-34142-22,37,Relevant video was found
C-31156-22,37,Relevant video was found
C-34237-22,55,Relevant video was found
C-34541-22,42,Relevant video was found
C-01009-22,95G,Relevant video was found
C-01030-22,95 G,Relevant video was found
C-01147-22,95 G,Relevant video was found
C-31903-22,100,Relevant video was found
C-01163-22,95 G,Relevant video was found
C-03228-22,18,Relevant video was found
C-32498-22,100,Relevant video was found
C-31695-22,20I,Relevant video was found
C-27134-22,21,Relevant video was found
C-32862-22,18,Relevant video was found
C-25752-22,34S,Relevant video was found
C-26942-22,67A,Relevant video was found
C-32869-22,34S,Relevant video was found
C-32968-22,21,Relevant video was found
C-00983-22,95G,Relevant video was found
C-33282-22,100,Relevant video was found
C-01127-22,95 G,Relevant video was found
C-33693-22,20,Relevant video was found
C-32640-22,67A,Relevant video was found
C-34087-22,21,Relevant video was found
C-29889-22,67A,Relevant video was found
C-11831-22,100,No relevant video was found
C-01052-22,95G,Relevant video was found
C-01013-22,95G,Relevant video was found
C-33917-22,20,Relevant video was found
C-25037-22,64J,Relevant video was found
C-33909-22,35,No relevant video was found
C-34070-22,20,Relevant video was found
C-34025-22,62C,No relevant video was found
C-34236-22,94,Relevant video was found
C-25662-22,30S,Relevant video was found
C-34643-22,107,No relevant video was found
C-35364-22,21,Relevant video was found
C-30133-22,64J,Relevant video was found
C-34597-22,94,No relevant video was found
D-02074-22,20,Relevant video was found
D-02226-22,103F,Relevant video was found
D-02336-22,107,Relevant video was found
D-03637-22,20I,Relevant video was found
C-34815-22,20,Relevant video was found
C-25662-22,30S,Relevant video was found
C-35322-22,20,No relevant video was found
C-34868-22,20,No relevant video was found
C-35147-22,966,Relevant video was found
C-34237-22,55,Relevant video was found
C-28945-22,64J,Relevant video was found
D-00907-22,20,Relevant video was found
C-04334-22,30S,Relevant video was found
D-00910-22,62,Relevant video was found
D-01077-22,39,Relevant video was found
D-01374-22,103 F,Relevant video was found
D-01180-22,100,No relevant video was found
D-03110-22,20,No relevant video was found
D-02282-22,30S,Relevant video was found
D-03491-22,20I,Relevant video was found
D-03414-22,20I,Relevant video was found
D-03455-22,62C,No relevant video was found
D-03588-22,37,Relevant video was found
C-21552-22,67A,Relevant video was found
C-35474-22,20i,Relevant video was found
C-354574-22,20,No relevant video was found
C-35643-22,63,Relevant video was found
D-00176-22,103F,Relevant video was found
D-00280-22,18,Relevant video was found
D-00287-22,20,No relevant video was found
D-00268-22,20,No relevant video was found
D-00226-22,20,No relevant video was found
D-00370-22,24,Relevant video was found
D-00430-22,20,No relevant video was found
D-00572-22,30s,Relevant video was found
D-00468-22,21,No relevant video was found
C-35534-22,20I,No relevant video was found
C-35500-22,20I,No relevant video was found
D-00022-22,64G,No relevant video was found
C-00966-22,95G,Relevant video was found
D-01468-22,64G,Relevant video was found
D-01464-22,64J,Relevant video was found
D-01608-22,20,Relevant video was found
D-01572-22,64G,Relevant video was found
D-00910-22,62C,Relevant video was found
D-01929-22,20X,Relevant video was found
D-01972-22,20I,Relevant video was found
C-35564-22,100,Relevant video was found
D-00165-22,64G,No relevant video was found
D-00944-22,18,Relevant video was found
D-00979-22,20I,Relevant video was found
D-01070-22,18,Relevant video was found
D-01102-22,103F,Relevant video was found
D-01065-22,21,Relevant video was found
D-00467-22,21,Relevant video was found
E-34938-21,21,Relevant video was found
D-00629-22,100I,No relevant video was found
C-35147-22,966,Relevant video was found
B-03140-22,21,Relevant video was found
D-01430-22,24,Relevant video was found
D-01464-22,64J,Relevant video was found
D-01468-22,64G,Relevant video was found
D-01816-22,20-I,Relevant video was found
D-02693-22,20I,Relevant video was found
D-02693-22,20I,Relevant video was found
D-02837-22,20,Relevant video was found
D-02867-22,20I,Relevant video was found
C-32907-22,67,Relevant video was found
D-03001-22,20,Relevant video was found
D-01515-22,65P,No relevant video was found
D-01609-22,100,No relevant video was found
D-01788-22,107S,Relevant video was found
D-01977-22,20I,Relevant video was found
D-02124-22,18,Relevant video was found
D-02282-22,30S,Relevant video was found
D-02355-22,20,Relevant video was found
D-02253-22,100,Relevant video was found
D-02888-22,106,No relevant video was found
D-02909-22,100,Relevant video was found
D-02911-22,20-I,Relevant video was found
D-02574-22,100,No relevant video was found
D-02828-22,20,Relevant video was found
C-02269-22,67A,Relevant video was found
D-03002-22,62C,Relevant video was found
D-03176-22,35,Relevant video was found
D-03330-22,20I,Relevant video was found
D-03402-22,20I,Relevant video was found
D-03454-22,18,Relevant video was found
D-00960-22,64 G,Relevant video was found
D-03136-22,34 S,Relevant video was found
D-02938-22,59,Relevant video was found
D-03255-22,100,Relevant video was found
D-03227-22,94,Relevant video was found
D-03551-22,21,No relevant video was found
D-03127-22,100,No relevant video was found
D-03727-22,20,No relevant video was found
D-03815-22,100,No relevant video was found
D-03964-22,62C,Relevant video was found
D-04147-22,34S,Relevant video was found
D-04107-22,20,No relevant video was found
D-03865-22,20,Relevant video was found
D-03949-22,20,Relevant video was found
D-04331-22,20I,Relevant video was found
D-04340-22,20,No relevant video was found
D-04467-22,94,No relevant video was found
D-03858-22,34S,Relevant video was found
D-03905-22,27/67A,Relevant video was found
E-34938-21,21,Relevant video was found
C-15444-22,100I,No relevant video was found
D-04362-22,95G,No relevant video was found
D-04101-22,37D,Relevant video was found
C-18409-22,30S,Relevant video was found
D-04565-22,20I,Relevant video was found
D-04605-22,62B,No relevant video was found
D-04671-22,52F,No relevant video was found
D-04744-22,64G,Relevant video was found
D-04744-22,64G,No relevant video was found
D-05088-22,20,Relevant video was found
D-04880-22,34S,Relevant video was found
D-05046-22,20,Relevant video was found
D-04605-22,62B,Relevant video was found
D-03981-22,67A,Relevant video was found
C-31263-22,67A,Relevant video was found
C-21801-22,30S,Relevant video was found
C-21801-22,30S,Relevant video was found
D-07687-22,20,Relevant video was found
D-05761-22,64J,No relevant video was found
D-05805-22,34S,Relevant video was found
C-34541-22,42,Relevant video was found
D-06071-22,103F,No relevant video was found
D-06073-22,94,No relevant video was found
D-07708-22,103,Relevant video was found
C-21801-22,30S,Relevant video was found
C-07880-22,20,Relevant video was found
D-05748-22,65P,Relevant video was found
C-21801-22,30 S,Relevant video was found
D-06054-22,42,Relevant video was found
D-05655-22,20,No relevant video was found
D-05792-22,20,Relevant video was found
D-05805-22,34S,Relevant video was found
D-05989-22,65,Relevant video was found
D-05289-22,21,Relevant video was found
D-05783-22,64G,No relevant video was found
D-05949-22,67,Relevant video was found
D-06848-22,37,Relevant video was found
D-06855-22,20I,Relevant video was found
D-06787-22,20,Relevant video was found
D-05748-22,65P,Relevant video was found
D-06917-22,56,Relevant video was found
D-06114-22,62C,Relevant video was found
D-05984-22,67A,Relevant video was found
E-34938-21,21,Relevant video was found
D-07446-22,20,Relevant video was found
D-07691-22,34C,No relevant video was found
C-21801-22,30S,Relevant video was found
D-07826-22,20,No relevant video was found
D-06165-22,20,Relevant video was found
D-06569-22,67,Relevant video was found
D-00664-22,67 A,No relevant video was found
D-06797-22,65,Relevant video was found
D-06936-22,20,Relevant video was found
D-06814-22,20,Relevant video was found
D-06955-22,94,Relevant video was found
D-06838-22,34 S,Relevant video was found
D-03981-22,67A,Relevant video was found
D-06302-22,20I,Relevant video was found
D-06369-22,20,Relevant video was found
D-06384-22,100,Relevant video was found
D-06838-22,20,Relevant video was found
C-21801-22,30S,Relevant video was found
C-30122-22,65,Relevant video was found
C-17815-22,21,Relevant video was found
D-08669-22,30S,Relevant video was found
D-02177-22,62R,Relevant video was found
D-08887-21,20,Relevant video was found
D-10855-22,37,No relevant video was found
D-11046-22,37,Relevant video was found
D-11129-22,20I,Relevant video was found
D-11277-22,103F,Relevant video was found
D-11356-22,20I,Relevant video was found
D-11547-22,55,Relevant video was found
D-11665-22,20,Relevant video was found
D-11914-22,20,Relevant video was found
D-10116-22,34S,Relevant video was found
D-06955-22,55,Relevant video was found
D-21801-22,30S,Relevant video was found
D-08475-22,65P,Relevant video was found
D-08650-22,20I,No relevant video was found
D-08824-22,20C,Relevant video was found
D-10094-22,100,Relevant video was found
D-10127-22,35,Relevant video was found
D-10223-22,100I,Relevant video was found
D-10234--22,56,Relevant video was found
D-10267-22,20C,Relevant video was found
D-10384-22,94,Relevant video was found
C-13695-22,20I,Relevant video was found
D-08481-22,20,Relevant video was found
D-07843-22,21,Relevant video was found
D-08723-22,34S,Relevant video was found
D-11636-22,67AR,No relevant video was found
D-11975-22,20,Relevant video was found
D-09764-22,30S,Relevant video was found
D-09771-22,20,Relevant video was found
D-09083-22,100,No relevant video was found
D-09093-22,35,No relevant video was found
D-09153-22,94,No relevant video was found
D09243-22,34S,Relevant video was found
D-09300-22,100,No relevant video was found
D-09279-22,20I,Relevant video was found
D-09284-22,103F,Relevant video was found
D-09268-22,20,Relevant video was found
D-09258-22,35,No relevant video was found
D-09458-22,52F,Relevant video was found
D-10087-22,20I,No relevant video was found
D-10115-22,107,Relevant video was found
D-10074-22,18A,Relevant video was found
D-10177-22,94,No relevant video was found
D-10517-22,103,No relevant video was found
D-10584-22,67A,Relevant video was found
D-10872-22,20,Relevant video was found
D-09013-22,37D,Relevant video was found
D-09077-22,20,No relevant video was found
D-09287-22,30S,Relevant video was found
D-09315-22,94,Relevant video was found
D-07802-22,62R,Relevant video was found
D-11965-22,21R,Relevant video was found
D-09587-22,20,Relevant video was found
D-09505-22,30S,Relevant video was found
D-11019-22,62B,Relevant video was found
D-11058-22,95G,Relevant video was found
D-09576-22,62R,No relevant video was found
D-09764-22,30S,Relevant video was found
D-09917-22,20,Relevant video was found
D-11098-22,20,Relevant video was found
D-11147-22,100,Relevant video was found
D-11231-22,21,Relevant video was found
D-11252-22,94,Relevant video was found
D-11223-22,20I,Relevant video was found
D-11282-22,34S,Relevant video was found
D-11470-22,20,No relevant video was found
D-11519-22,100,No relevant video was found
D-09629-22,100,Relevant video was found
D-12324-22,37,Relevant video was found
D-12187-22,106,Relevant video was found
D-12409-22,34S,Relevant video was found
D-12416-22,18,Relevant video was found
D-12400-22,20,No relevant video was found
D-10570-22,64G,Relevant video was found
D-12563-22,34 S,Relevant video was found
D-12411-22,34S,Relevant video was found
D-10461-22,34S,No relevant video was found
D-08669-22,30S,Relevant video was found
D-10018-22,34C,Relevant video was found
D-10504-22,67A,No relevant video was found
D-10951-22,20,Relevant video was found
D-11708-22,107,No relevant video was found
D-11703-22,24,Relevant video was found
D-11928-22,20,No relevant video was found
D-12102-22,20,Relevant video was found
D-12020-22,35,No relevant video was found
D-12057-22,20,Relevant video was found
D-10116-22,34S,Relevant video was found
D-12610-22,64K,No relevant video was found
D-12614-22,94,Relevant video was found
D-12635-22,35,Relevant video was found
D-12601-22,94,Relevant video was found
D-12905-22,20,No relevant video was found
D-12911-22,35,Relevant video was found
D-13343-22,20,No relevant video was found
D-13374-22,18,Relevant video was found
D-12958-22,20,No relevant video was found
D-13002-22,20,Relevant video was found
D-13143-22,20,No relevant video was found
B-09110-22,65J,Relevant video was found
D-12815-22,20,Relevant video was found
D-12907-22,20,Relevant video was found
D-12925-22,20I,Relevant video was found
D-08669-22,30S,Relevant video was found
D-10116-22,34S,Relevant video was found
D-11644-22,51,Relevant video was found
D-13059-22,65,Relevant video was found
C-32869-22,34S,Relevant video was found
D-13378-22,37,Relevant video was found
D-13422-22,107,Relevant video was found
D-13487-22,20,Relevant video was found
D-13353-22,35,Relevant video was found
D-13740-22,18,Relevant video was found
D-13765-22,18,Relevant video was found
D-13031-22,62 C,Relevant video was found
D-09243-22,30 S,Relevant video was found
D-02032-22,95,Relevant video was found
D-13679-22,20,Relevant video was found
C-28624-22,30 S,Relevant video was found
C-18168-22,60 D,Relevant video was found
D-13510-22,21,No relevant video was found
D-09243-22,30S,Relevant video was found
D-13811-22,21,Relevant video was found
D-13831-22,94,No relevant video was found
D-13916-22,20,No relevant video was found
D-10094-22,100,Relevant video was found
D-13925-22,62B,Relevant video was found
D-13976-22,20I,Relevant video was found
D-14062-22,107,No relevant video was found
D-14257-22,95G,Relevant video was found
D-13989-22,20,No relevant video was found
D-14280-22,100,Relevant video was found
D-12918-22,100,No relevant video was found
C-31956-22,67A,No relevant video was found
D-14394-22,100I,Relevant video was found
D-14491-22,20,Relevant video was found
D-14638-22,20,Relevant video was found
D-14342-22,100,No relevant video was found
D-14744-22,18,Relevant video was found
D-10570-22,64G,Relevant video was found
D-14810-22,64G,No relevant video was found
D-14965-22,67A,Relevant video was found
D-15082-22,37,Relevant video was found
D-14933-22,20,Relevant video was found
B-09110-22,65J,Relevant video was found
D-14810-22,21,No relevant video was found
D-14460-22,21,Relevant video was found
D-14460-22,65J,Relevant video was found
D-14747-22,100i,Relevant video was found
D-14638-22,20,Relevant video was found
C-23765-22,64J,Relevant video was found
D-15180-22,20I,Relevant video was found
D-15265-22,20I,No relevant video was found
D-14607-22,100,No relevant video was found
D-15435-22,20,No relevant video was found
D-15527-22,21,Relevant video was found
D-15553-22,20,Relevant video was found
D-15761-22,20,Relevant video was found
D-19050-22,34S,Relevant video was found
D-19197-22,20I,No relevant video was found
D-19258-22,52F,Relevant video was found
D-19362-22,62B,No relevant video was found
D-15289-22,20,No relevant video was found
D-15704-22,20,Relevant video was found
D-15652-22,100,No relevant video was found
D-15842-22,100I,Relevant video was found
D-16206-22,35D,No relevant video was found
D-16376-22,18,Relevant video was found
D-16412-22,21,Relevant video was found
D-16414-22,103,No relevant video was found
D-16424-22,21,No relevant video was found
D-17029-22,103,Relevant video was found
D-17217-22,24,Relevant video was found
D-17272-22,18,Relevant video was found
D-17326-22,18,Relevant video was found
D-17402-22,94,Relevant video was found
D-15277-22,94,Relevant video was found
D-15230-22,20,Relevant video was found
D-06277-22,100,Relevant video was found
D-07664-22,62R,No relevant video was found
D-15366-22,56,No relevant video was found
D-18557-22,62C,Relevant video was found
D-18766-22,20I,Relevant video was found
D-15503-22,65,Relevant video was found
D-15942-22,21,Relevant video was found
D-15888-22,100i,No relevant video was found
D-16093-22,20,No relevant video was found
D-16487-22,20I,Relevant video was found
D-16651-22,20,Relevant video was found
D-16672-22,100I,Relevant video was found
D-16763-22,100I,Relevant video was found
D-17704-22,67 A,Relevant video was found
D-17712-22,67/ AR,Relevant video was found
D-18210-22,20,Relevant video was found
D-18228-22,103 F,Relevant video was found
D-15953-22,27-64J,Relevant video was found
D-16082-22,62C,Relevant video was found
D-17636-22,37,No relevant video was found
D-17651-22,103,Relevant video was found
D-17658-22,18,Relevant video was found
D-17657-22,20,No relevant video was found
D-17686-22,20,Relevant video was found
D-18921-22,34S,Relevant video was found
D-19063-22,18,Relevant video was found
D-19183-22,107,Relevant video was found
D-19331-22,18,Relevant video was found
D-19306-22,64G,Relevant video was found
D-16755-22,20-I,No relevant video was found
D-16854-22,21,No relevant video was found
D-16446-22,62B,Relevant video was found
D-18767-22,20,No relevant video was found
D-18802-22,20,Relevant video was found
D-18818-22,100I,Relevant video was found
D-20394-22,35,Relevant video was found
D-16533-22,58R,No relevant video was found
D-07788-22,21M,Relevant video was found
D-16824-22,100,Relevant video was found
D-20203-22,24,Relevant video was found
D-20381-22,107,No relevant video was found
D-20432-22,94,No relevant video was found
D-16550-22,20I,Relevant video was found
D-16859-22,20,Relevant video was found
D-16525-22,PIB,Relevant video was found
D-17126-22,35 D,Relevant video was found
D-17300-22,21,Relevant video was found
D-16973-22,27/64G,Relevant video was found
D-17183-22,20,Relevant video was found
D-17384-22,20,Relevant video was found
D-17327-22,34 S,No relevant video was found
D-19876-22,100I,Relevant video was found
D-19520-22,20,No relevant video was found
D-19351-22,64G,No relevant video was found
D-19612-22,37,Relevant video was found
D-18455-22,34S,Relevant video was found
D-17097-22,20,No relevant video was found
D-15842-22,100I,Relevant video was found
D-17199-22,100,Relevant video was found
D-17224-22,24,Relevant video was found
D-17226-22,100,No relevant video was found
D-17468-22,107,Relevant video was found
D-17460-22,20,Relevant video was found
D-17542-22,20,No relevant video was found
D-17813-22,20,Relevant video was found
D-18176-22,20,Relevant video was found
D-18091-22,37,Relevant video was found
D-18232-22,18,Relevant video was found
D-18381-22,103F,Relevant video was found
D-06358-22,100,No relevant video was found
D-19472-22,35D,Relevant video was found
D-19793-22,37D,No relevant video was found
D-17830-22,103M,No relevant video was found
D-17855-22,20,No relevant video was found
D-20120-22,94,No relevant video was found
D-20161-22,20,No relevant video was found
D-20159-22,64G,Relevant video was found
D-16747-22,37,Relevant video was found
D-18155-22,34S,No relevant video was found
D-18344-22,35,Relevant video was found
D-18641-22,62C,No relevant video was found
D-18705-22,18,Relevant video was found
D-18682-22,64G,Relevant video was found
D-18706-22,20,Relevant video was found
D-19027-22,64 G,Relevant video was found
D-19114-22,34 S,Relevant video was found
D-19339-22,21,No relevant video was found
D-19002-22,20F,No relevant video was found
C-30722-22,55,Relevant video was found
D-11307-22,64G,Relevant video was found
D-20573-22,34C,No relevant video was found
D-20942-22,35,Relevant video was found
D-19244-22,34S,Relevant video was found
D-21703-22,62C,No relevant video was found
D-20772-22,64G,Relevant video was found
D-21156-22,20I,No relevant video was found
D-21124-22,20,Relevant video was found
D-21054-22,100,Relevant video was found
D-21312-22,30S,Relevant video was found
D-21381-22,34S,No relevant video was found
D-21546-22,52F,Relevant video was found
D-21258-22,20I,Relevant video was found
D-21312-22,30S,Relevant video was found
D-21770-22,52F,Relevant video was found
D-21803-22,20,Relevant video was found
D-21931-22,103M,Relevant video was found
