item_number,Signal Code,Upon Researching the above item :,Type,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip,PoliceDistrict,Location
C1213022,20,Relevant video was found,20,AUTO ACCIDENT,1E,20,AUTO ACCIDENT,1E,3678322,532802,3/11/2022 18:00,3/11/2022 18:28,3/11/2022 18:35,3/11/2022 20:04,RTF,REPORT TO FOLLOW,N,1H01,Canal S & S Claiborne Ave,70112,1,POINT (-90.07805934 29.95911837)
B2326622,34S,Relevant video was found,34S,AGGRAVATED BATTERY BY SHOOTING,1A,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3694855,549712,2/20/2022 0:43,,2/20/2022 0:56,2/20/2022 5:37,RTF,REPORT TO FOLLOW,N,7A01,I-10 W & Highrise,70126,7,POINT (-90.02524262 30.00510661)
C1267022,35,Relevant video was found,35,SIMPLE BATTERY,1F,35,SIMPLE BATTERY,1F,3682492,532982,3/12/2022 3:38,3/12/2022 6:51,3/12/2022 6:51,3/12/2022 6:51,GOA,GONE ON ARRIVAL,N,8.00E+01,Bourbon St & Saint Ann St,70116,8,POINT (-90.06488474 29.95948599)
C1930822,20,Relevant video was found,20,AUTO ACCIDENT,1A,20,AUTO ACCIDENT,1E,3661700,528607,3/17/2022 21:55,3/17/2022 23:24,3/17/2022 23:31,3/18/2022 1:20,RTF,REPORT TO FOLLOW,N,2K01,Oak St & Dublin St,70118,2,POINT (-90.13068581 29.94807392)
C1207522,100,No relevant video was found,100,HIT & RUN,1G,100,HIT & RUN,1G,3680357,531359,3/11/2022 16:59,3/11/2022 19:38,3/11/2022 19:46,3/11/2022 21:26,RTF,REPORT TO FOLLOW,N,8D01,Canal St & Burgundy St,70112,8,POINT (-90.07168373 29.95508764)
C1237522,20-I,Relevant video was found,20,AUTO ACCIDENT,1E,20I,AUTO ACCIDENT WITH INJURY,2D,3703244,552427,3/11/2022 21:55,3/11/2022 23:36,3/11/2022 23:42,3/12/2022 1:50,RTF,REPORT TO FOLLOW,N,7C02,Chef Menteur Hwy & Wilson Ave,70126,7,POINT (-89.99863915 30.01230557)
C1331122,20,No relevant video was found,21,COMPLAINT OTHER,1J,20,AUTO ACCIDENT,1E,3666070,543482,3/12/2022 18:20,3/12/2022 18:28,3/12/2022 18:28,3/12/2022 19:23,NAT,Necessary Action Taken,N,3B02,I-10 E & Pontchartrain Blvd,70124,3,POINT (-90.11639012 29.98884921)
C1333722,103F,No relevant video was found,103F,FIGHT,2D,103F,FIGHT,2D,3681961,532873,3/12/2022 18:47,3/12/2022 18:48,3/12/2022 18:57,3/12/2022 19:00,GOA,GONE ON ARRIVAL,N,8D06,Dauphine St & Saint Peter St,70112,8,POINT (-90.06656513 29.95920221)
C1354722,94,No relevant video was found,94,DISCHARGING FIREARM,2D,94,DISCHARGING FIREARM,2D,3689839,536971,3/12/2022 23:29,3/12/2022 23:31,3/12/2022 23:39,3/12/2022 23:54,GOA,GONE ON ARRIVAL,N,5C03,Louisa St & N Villere St,70117,5,POINT (-90.0415431 29.97022829)
C1358522,52F,Relevant video was found,52F,FIRE,1D,52F,FIRE,1D,3679895,531603,3/13/2022 0:14,,3/13/2022 0:14,3/13/2022 1:07,NAT,Necessary Action Taken,Y,8I02,011XX Blk Canal St,70112,8,POINT (-90.07313296 29.9557733)
C1364122,62C,No relevant video was found,62C,SIMPLE BURGLARY VEHICLE,1G,62C,SIMPLE BURGLARY VEHICLE,1G,3669556,536554,3/13/2022 1:14,3/13/2022 8:34,3/13/2022 8:39,3/13/2022 8:45,GOA,GONE ON ARRIVAL,N,1L04,S Carrollton Ave & Ulloa St,70119,1,POINT (-90.10561248 29.96969557)
C1369622,20I,Relevant video was found,20I,AUTO ACCIDENT WITH INJURY,2D,20I,AUTO ACCIDENT WITH INJURY,2D,3681515,529202,3/13/2022 3:36,3/13/2022 3:37,3/13/2022 3:38,3/13/2022 5:15,RTF,REPORT TO FOLLOW,N,8G04,Magazine St & Poydras St,70130,8,POINT (-90.06810147 29.94912312)
C1373922,100I,No relevant video was found,100,HIT & RUN,1G,100I,HIT & RUN WITH INJURIES,2D,3696285,550811,3/13/2022 4:37,3/13/2022 4:39,3/13/2022 4:46,3/13/2022 6:23,RTF,REPORT TO FOLLOW,N,7C01,Downman Rd Exit & Downman Rd,70126,7,POINT (-90.02068438 30.00808322)
C1437822,94,No relevant video was found,94,DISCHARGING FIREARM,2D,94,DISCHARGING FIREARM,2D,3696804,522592,3/13/2022 19:57,3/13/2022 19:57,3/13/2022 20:02,3/13/2022 20:35,GOA,GONE ON ARRIVAL,N,4J01,Vespasian Blvd & Westbend Pkwy,70114,4,POINT (-90.02006831 29.93047466)
C1440722,107,No relevant video was found,107,SUSPICIOUS PERSON,2C,107,SUSPICIOUS PERSON,2C,3674738,524316,3/13/2022 20:39,3/13/2022 20:41,3/13/2022 20:43,3/13/2022 20:53,GOA,GONE ON ARRIVAL,N,6F02,Loyola Ave & Washington Ave,70115,6,POINT (-90.08966627 29.93589084)
C1429322,20,No relevant video was found,20,AUTO ACCIDENT,1A,20,AUTO ACCIDENT,1E,3686221,557302,3/13/2022 18:21,3/13/2022 22:59,3/13/2022 23:10,3/13/2022 23:15,GOA,GONE ON ARRIVAL,N,3S07,Leon C Simon Dr & Franklin Ave,70122,3,POINT (-90.05225249 30.0262451)
C1463822,100,No relevant video was found,100,HIT & RUN,1A,100,HIT & RUN,1G,3684842,537773,3/14/2022 1:49,3/14/2022 3:32,3/14/2022 3:42,3/14/2022 5:07,RTF,REPORT TO FOLLOW,N,5A04,Elysian Fields Ave & N Robertson St,70117,5,POINT (-90.05729655 29.97258803)
C1473122,20I,Relevant video was found,20,AUTO ACCIDENT,1E,20I,AUTO ACCIDENT WITH INJURY,2D,3687078,536541,3/14/2022 4:37,3/14/2022 4:46,3/14/2022 4:50,3/14/2022 6:34,RTF,REPORT TO FOLLOW,N,5B02,Saint Claude Ave & Franklin Ave,70117,5,POINT (-90.05027817 29.96913198)
C1441022,34 S,Relevant video was found,34S,AGGRAVATED BATTERY BY SHOOTING,2C,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3677660,535936,3/13/2022 20:45,3/13/2022 20:48,3/13/2022 20:53,3/13/2022 22:51,RTF,REPORT TO FOLLOW,N,1I01,Magic St & N Tonti St,70119,1,POINT (-90.08004174 29.96775514)
C1543722,20,Relevant video was found,20I,AUTO ACCIDENT WITH INJURY,2D,20,AUTO ACCIDENT,1E,3676216,525527,3/14/2022 17:05,3/14/2022 18:37,3/14/2022 18:51,3/14/2022 20:10,RTF,REPORT TO FOLLOW,N,6F03,Simon Bolivar Ave & Jackson Ave,70113,6,POINT (-90.08496144 29.93917673)
C1558022,21,Relevant video was found,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3676838,538781,3/14/2022 19:11,,3/14/2022 19:11,3/14/2022 21:21,NAT,Necessary Action Taken,Y,1N02,Ursulines Ave & N Dupre St,70119,1,POINT (-90.08253971 29.9756032)
C1293622,20,Relevant video was found,20,AUTO ACCIDENT,1E,20,AUTO ACCIDENT,1E,3691229,549825,3/12/2022 10:19,3/12/2022 10:28,,3/12/2022 11:53,RTF,REPORT TO FOLLOW,N,3U04,045XX Chef Menteur Hwy,70126,3,POINT (-90.03669567 30.00552926)
B2251622,103,Relevant video was found,103,DISTURBANCE (OTHER),1C,94,DISCHARGING FIREARM,2D,3680076,530876,2/19/2022 10:47,2/19/2022 10:47,2/19/2022 10:51,2/19/2022 12:06,NAT,Necessary Action Taken,N,8I01,009XX Common St,70112,8,POINT (-90.07258808 29.95376973)
C1305922,67A,Relevant video was found,67AR,SIMULTANEOS STOLEN/RECOVERY VEHICLE,1D,65J,CARJACKING- NO WEAPON,2C,3697805,557783,3/12/2022 12:43,3/12/2022 12:44,3/12/2022 12:53,3/12/2022 16:44,RTF,REPORT TO FOLLOW,N,7D04,Morrison Rd & I-10 Service Rd,70126,7,POINT (-90.01563101 30.02720556)
C1392822,20,Relevant video was found,20,AUTO ACCIDENT,1A,20,AUTO ACCIDENT,1E,3670033,532365,3/13/2022 10:14,3/13/2022 12:02,3/13/2022 12:15,3/13/2022 13:41,RTF,REPORT TO FOLLOW,N,6N02,Washington Ave & S Norman C Francis Pkwy,70125,6,POINT (-90.10424918 29.95816262)
C1392722,21m,Relevant video was found,21,COMPLAINT OTHER,1J,21M,MISSING ADULT,1C,3681626,529928,3/13/2022 10:14,3/13/2022 11:46,3/13/2022 12:01,3/13/2022 14:15,RTF,REPORT TO FOLLOW,N,8G04,002XX Magazine St,70130,8,POINT (-90.06772481 29.95111699)
C1666322,20,No relevant video was found,21,COMPLAINT OTHER,1J,20,AUTO ACCIDENT,1E,3680192,541640,3/15/2022 17:23,3/15/2022 18:25,3/15/2022 18:36,3/15/2022 18:45,NAT,Necessary Action Taken,N,1C02,Saint Bernard Ave & N Broad St,70119,1,POINT (-90.07184858 29.98336334)
C1669522,20,Relevant video was found,20,AUTO ACCIDENT,1A,20,AUTO ACCIDENT,1E,3666076,547432,3/15/2022 17:52,3/15/2022 18:27,3/15/2022 18:45,3/15/2022 19:49,RTF,REPORT TO FOLLOW,N,3B03,Pontchartrain Blvd & Veterans Blvd,70124,3,POINT (-90.11624014 29.99970886)
C1684722,20,No relevant video was found,20,AUTO ACCIDENT,1A,20,AUTO ACCIDENT,1E,3672556,526126,3/15/2022 20:08,,,3/15/2022 22:36,VOI,VOID,N,6I04,033XX S Claiborne Ave,70115,6,POINT (-90.09649508 29.94093254)
C1694022,94,No relevant video was found,94,DISCHARGING FIREARM,2D,94,DISCHARGING FIREARM,2D,3730804,563677,3/15/2022 21:47,3/15/2022 21:48,3/15/2022 21:57,3/15/2022 22:29,GOA,GONE ON ARRIVAL,N,7L04,146XX Dwyer Blvd,70129,7,POINT (-89.91112536 30.04232648)
C1896722,20,No relevant video was found,20,AUTO ACCIDENT,1E,20,AUTO ACCIDENT,1E,3672799,540119,3/17/2022 16:04,3/17/2022 16:14,3/17/2022 16:32,3/17/2022 16:39,GOA,GONE ON ARRIVAL,N,1M01,Orleans Ave & N Carrollton Ave,70119,1,POINT (-90.09524991 29.97940255)
C1893222,20,Relevant video was found,20,AUTO ACCIDENT,1E,20,AUTO ACCIDENT,1E,3681958,543846,3/17/2022 15:30,3/17/2022 16:22,3/17/2022 16:28,3/17/2022 18:46,RTF,REPORT TO FOLLOW,N,3X01,N Broad St & Treasure St,70122,3,POINT (-90.06619223 29.98937503)
C1552222,18,Relevant video was found,TS,TRAFFIC STOP,1J,TS,TRAFFIC STOP,1J,3671035,518602,3/14/2022 18:16,,3/14/2022 18:16,3/14/2022 18:44,NAT,Necessary Action Taken,Y,2B05,008XX Blk Napoleon Ave,70115,2,POINT (-90.10155148 29.92028912)
C1551622,67S,No relevant video was found,67S,SHOPLIFTING,0A,67,THEFT,1G,3679306,525529,3/14/2022 18:06,,,3/14/2022 23:33,GOA,GONE ON ARRIVAL,N,6.00E+03,014XX Saint Charles Ave,70130,6,POINT (-90.07520325 29.93909021)
C1559822,107,Relevant video was found,21,COMPLAINT OTHER,1J,107,SUSPICIOUS PERSON,2C,3703305,551870,3/14/2022 19:25,3/14/2022 19:25,3/14/2022 19:31,3/14/2022 20:07,NAT,Necessary Action Taken,N,7C02,Wilson Ave & Old Gentilly Rd,70126,7,POINT (-89.99846724 30.01077208)
C1405722,100I,No relevant video was found,100I,HIT & RUN WITH INJURIES,2D,100,HIT & RUN,1G,3695979,526228,3/13/2022 13:08,3/13/2022 15:34,3/13/2022 15:38,3/13/2022 16:25,RTF,REPORT TO FOLLOW,N,4J02,General Meyer Ave & Odeon Ave,70114,4,POINT (-90.02254052 29.9404984)
C1740322,20I,Relevant video was found,20I,AUTO ACCIDENT WITH INJURY,2D,20I,AUTO ACCIDENT WITH INJURY,2D,3682146,537844,3/16/2022 9:22,3/16/2022 9:25,3/16/2022 9:34,3/16/2022 13:14,RTF,REPORT TO FOLLOW,N,1B01,N Claiborne Ave & Saint Bernard Ave,70116,1,POINT (-90.06580829 29.97286525)
C1444422,99,Relevant video was found,99,RECKLESS DRIVING,1F,99,RECKLESS DRIVING,1F,3696211,551408,3/13/2022 21:25,3/13/2022 21:32,3/13/2022 21:39,3/13/2022 22:00,NAT,Necessary Action Taken,N,7A01,Chef Menteur Hwy & Downman Rd,70126,7,POINT (-90.0208964 30.00972827)
C1448022,35,Relevant video was found,103F,FIGHT,2D,35,SIMPLE BATTERY,1F,3682273,532773,3/13/2022 22:14,,3/13/2022 22:40,3/13/2022 23:29,RTF,REPORT TO FOLLOW,N,8D06,007XX Bourbon St,70116,8,POINT (-90.06558354 29.95891927)
C1448022,103F,Relevant video was found,103F,FIGHT,2D,35,SIMPLE BATTERY,1F,3682273,532773,3/13/2022 22:14,,3/13/2022 22:40,3/13/2022 23:29,RTF,REPORT TO FOLLOW,N,8D06,007XX Bourbon St,70116,8,POINT (-90.06558354 29.95891927)
C1474922,21,No relevant video was found,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3680927,530925,3/14/2022 5:18,3/14/2022 5:18,3/14/2022 5:21,3/14/2022 6:09,DUP,DUPLICATE,N,8D01,Bourbon St & Canal St,70112,8,POINT (-90.06989927 29.95387931)
C1217922,67AR,Relevant video was found,67AR,SIMULTANEOS STOLEN/RECOVERY VEHICLE,1D,67A,AUTO THEFT,1D,3699162,558139,3/11/2022 18:39,,3/11/2022 19:46,3/11/2022 22:38,RTF,REPORT TO FOLLOW,N,7D06,070XX Martin Dr,70126,7,POINT (-90.01132766 30.02814167)
C1621322,100,Relevant video was found,100,HIT & RUN,1G,100,HIT & RUN,1G,3684704,534835,3/15/2022 10:01,,3/15/2022 10:01,3/15/2022 11:06,RTF,REPORT TO FOLLOW,Y,8F01,Royal St & Frenchmen St,70116,8,POINT (-90.05783503 29.96451459)
C1626622,20,Relevant video was found,20,AUTO ACCIDENT,1E,20,AUTO ACCIDENT,1E,3680927,530925,3/15/2022 11:02,3/15/2022 11:08,3/15/2022 11:09,3/15/2022 13:55,RTF,REPORT TO FOLLOW,N,8D01,Bourbon St & Canal St,70112,8,POINT (-90.06989927 29.95387931)
C1663722,20I,Relevant video was found,20I,AUTO ACCIDENT WITH INJURY,1A,20I,AUTO ACCIDENT WITH INJURY,2D,3661176,520990,3/15/2022 17:02,3/15/2022 17:56,3/15/2022 18:04,3/15/2022 20:09,RTF,REPORT TO FOLLOW,N,2A05,Walnut St & Magazine St,70118,2,POINT (-90.13259361 29.92714332)
C1471122,34C,No relevant video was found,35,SIMPLE BATTERY,1F,34C,AGGRAVATED BATTERY BY CUTTING,2D,3680927,530925,3/14/2022 3:56,3/14/2022 3:57,3/14/2022 4:40,3/14/2022 6:22,RTF,REPORT TO FOLLOW,N,8D01,Canal St & Bourbon St,70112,8,POINT (-90.06989927 29.95387931)
C1554522,67B,Relevant video was found,67B,BICYCLE THEFT,1G,21,COMPLAINT OTHER,1J,3679405,531124,3/14/2022 18:38,,3/14/2022 18:38,3/14/2022 19:49,RTF,REPORT TO FOLLOW,Y,8I02,Tulane Ave & Loyola Ave,70112,8,POINT (-90.07469698 29.95447089)
C1726322,20,No relevant video was found,20,AUTO ACCIDENT,1E,20,AUTO ACCIDENT,1E,3687677,539114,3/16/2022 6:42,3/16/2022 7:26,3/16/2022 7:33,3/16/2022 8:53,RTF,REPORT TO FOLLOW,N,5G02,Franklin Ave & N Roman St,70117,5,POINT (-90.04829618 29.97618778)
C1732422,100,No relevant video was found,100,HIT & RUN,1G,100,HIT & RUN,1G,3696177,551680,3/16/2022 7:47,,3/16/2022 8:19,3/16/2022 8:41,RTF,REPORT TO FOLLOW,N,7A02,Downman Rd & Monroe St,70126,7,POINT (-90.02099524 30.0104773)
C1735922,20,Relevant video was found,20,AUTO ACCIDENT,1E,20,AUTO ACCIDENT,1E,3675855,529236,3/16/2022 8:23,3/16/2022 8:35,3/16/2022 8:51,3/16/2022 9:37,RTF,REPORT TO FOLLOW,N,6J03,S Claiborne Ave & Earhart Blvd,70125,6,POINT (-90.08597202 29.94938682)
C1512422,20,Relevant video was found,20,AUTO ACCIDENT,1A,20,AUTO ACCIDENT,1E,3693019,521898,3/14/2022 12:23,3/14/2022 15:02,3/14/2022 15:02,3/14/2022 15:06,GOA,GONE ON ARRIVAL,N,4C03,026XX General Degaulle Dr,70114,4,POINT (-90.03204172 29.92868645)
C1515022,20,Relevant video was found,20,AUTO ACCIDENT,1E,20,AUTO ACCIDENT,1E,3670164,531936,3/14/2022 12:44,3/14/2022 12:48,3/14/2022 12:53,3/14/2022 14:06,RTF,REPORT TO FOLLOW,N,2V03,Washington Ave & Earhart Blvd,70125,2,POINT (-90.10384876 29.95698102)
C1509522,100,No relevant video was found,100,HIT & RUN,1G,100,HIT & RUN,1G,3681329,530861,3/14/2022 11:57,3/14/2022 13:16,3/14/2022 13:25,3/14/2022 14:26,RTF,REPORT TO FOLLOW,N,8C01,001XX Blk Royal St,70130,8,POINT (-90.06863267 29.95369123)
C0574822,62C,No relevant video was found,62C,SIMPLE BURGLARY VEHICLE,1A,62C,SIMPLE BURGLARY VEHICLE,1G,3685090,534170,3/6/2022 5:20,,3/7/2022 2:41,3/7/2022 3:12,RTF,REPORT TO FOLLOW,N,8F01,005XX Elysian Fields Ave,70116,8,POINT (-90.05664076 29.9626747)
C1532722,37,Relevant video was found,37,AGGRAVATED ASSAULT,2E,37,AGGRAVATED ASSAULT,2E,3674341,533708,3/14/2022 15:46,3/14/2022 15:47,,3/14/2022 15:50,GOA,GONE ON ARRIVAL,N,1G02,Tulane Ave & S Broad St,70119,1,POINT (-90.09060014 29.96172844)
C1773122,20I,Relevant video was found,21,COMPLAINT OTHER,1J,20,AUTO ACCIDENT,1E,3679760,531761,3/16/2022 15:09,3/16/2022 17:04,3/16/2022 18:37,3/16/2022 18:44,NAT,Necessary Action Taken,N,1.00E+02,Basin St & Elk Pl,70112,1,POINT (-90.0735559 29.95621261)
C1877222,107,No relevant video was found,107,SUSPICIOUS PERSON,2C,107,SUSPICIOUS PERSON,2C,3666848,537599,3/17/2022 12:50,,3/17/2022 12:50,3/17/2022 13:10,GOA,GONE ON ARRIVAL,Y,3A02,040XX Eagle St,70118,3,POINT (-90.11413072 29.97264781)
C0927822,62C,Relevant video was found,62C,SIMPLE BURGLARY VEHICLE,0A,62C,SIMPLE BURGLARY VEHICLE,1G,3674768,523039,3/9/2022 8:47,,3/9/2022 9:12,3/9/2022 11:18,RTF,REPORT TO FOLLOW,N,6Q05,029XX Dryades St,70115,6,POINT (-90.08961603 29.93237887)
C1578222,67A,Relevant video was found,67A,AUTO THEFT,0A,67A,AUTO THEFT,1D,37369000,3513814,3/14/2022 23:07,3/15/2022 1:44,3/15/2022 1:53,3/15/2022 5:29,RTF,REPORT TO FOLLOW,N,6B01,026XX Blk St Thomas St,70130,0,POINT (0 0)
C1575022,103F,No relevant video was found,103F,FIGHT,1A,103F,FIGHT,2D,3691862,550150,3/14/2022 22:07,3/14/2022 23:38,3/14/2022 23:54,3/15/2022 2:54,RTF,REPORT TO FOLLOW,N,3U04,046XX Chef Menteur Hwy,70126,3,POINT (-90.03468288 30.00640524)
C1585122,103F,No relevant video was found,103F,FIGHT,2D,103F,FIGHT,2D,3681799,532132,3/15/2022 0:58,3/15/2022 1:05,3/15/2022 1:05,3/15/2022 1:09,GOA,GONE ON ARRIVAL,N,8D05,005XX Bourbon St,70112,8,POINT (-90.06710461 29.95717162)
C1593722,20,No relevant video was found,20,AUTO ACCIDENT,1E,20,AUTO ACCIDENT,1E,3677613,523661,3/15/2022 3:24,3/15/2022 3:28,3/15/2022 3:30,3/15/2022 5:38,RTF,REPORT TO FOLLOW,N,6D03,Jackson Ave & Saint Charles Ave,70130,6,POINT (-90.08061222 29.93400616)
C1578622,103,Relevant video was found,103D,DOMESTIC DISTURBANCE,1A,103,DISTURBANCE (OTHER),1C,3699363,534110,3/14/2022 23:10,3/15/2022 0:16,3/15/2022 0:20,3/15/2022 0:41,RTF,REPORT TO FOLLOW,N,5.00E+03,012XX Gordon St,70117,5,POINT (-90.01157006 29.9620631)
C1599422,20I,Relevant video was found,20I,AUTO ACCIDENT WITH INJURY,2D,20I,AUTO ACCIDENT WITH INJURY,2D,3675855,529236,3/15/2022 5:18,3/15/2022 5:21,3/15/2022 5:25,3/15/2022 6:40,RTF,REPORT TO FOLLOW,N,6J03,Earhart Blvd & S Claiborne Ave,70125,6,POINT (-90.08597202 29.94938682)
C1676722,18,Relevant video was found,1028NP,VEHICLE NO-PURSUIT,2C,TS,TRAFFIC STOP,1J,3678575,519643,3/15/2022 18:48,,3/15/2022 18:48,3/15/2022 22:59,NAT,Necessary Action Taken,Y,6A01,Saint Thomas St & 3rd St,None,6,POINT (-90.07771508 29.92292906)
C1697722,106,Relevant video was found,106,"OBSCENITY, EXPOSING",1A,106,"OBSCENITY, EXPOSING",2C,3703305,551870,3/15/2022 22:36,,,3/15/2022 22:40,VOI,VOID,N,7C02,Wilson Ave & Old Gentilly Rd,70126,7,POINT (-89.99846724 30.01077208)
C1793122,20I,Relevant video was found,20I,AUTO ACCIDENT WITH INJURY,2D,20I,AUTO ACCIDENT WITH INJURY,2D,3678322,532802,3/16/2022 18:16,3/16/2022 18:18,3/16/2022 18:22,3/16/2022 19:40,RTF,REPORT TO FOLLOW,N,1H01,S Claiborne Ave & Canal St,70112,1,POINT (-90.07805934 29.95911837)
C1787522,34S,Relevant video was found,34S,AGGRAVATED BATTERY BY SHOOTING,2C,94,DISCHARGING FIREARM,2D,3704922,559224,3/16/2022 17:19,3/16/2022 17:20,3/16/2022 17:27,3/17/2022 0:00,RTF,REPORT TO FOLLOW,N,7O09,008XX Blk N I-10 Service Rd,70127,7,POINT (-89.99308726 30.03093947)
C1787522,34S,Relevant video was found,34S,AGGRAVATED BATTERY BY SHOOTING,2C,94,DISCHARGING FIREARM,2D,3704922,559224,3/16/2022 17:19,3/16/2022 17:20,3/16/2022 17:27,3/17/2022 0:00,RTF,REPORT TO FOLLOW,N,7O09,008XX Blk N I-10 Service Rd,70127,7,POINT (-89.99308726 30.03093947)
C1818822,64J,Relevant video was found,64J,CARJACKING,2C,67A,AUTO THEFT,1D,3705217,558343,3/16/2022 23:14,3/16/2022 23:47,3/16/2022 23:52,3/17/2022 1:02,RTF,REPORT TO FOLLOW,N,7R02,057XX Crowder Blvd,70127,7,POINT (-89.9921898 30.02851015)
C1822922,35D,Relevant video was found,35D,SIMPLE BATTERY DOMESTIC,2C,103F,FIGHT,2D,3684211,538134,3/16/2022 23:54,3/16/2022 23:56,3/16/2022 23:59,3/17/2022 3:25,RTF,REPORT TO FOLLOW,N,5A04,020XX N Claiborne Ave,70116,5,POINT (-90.05927671 29.97360017)
C1817322,94,No relevant video was found,94,DISCHARGING FIREARM,2D,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3696114,518534,3/16/2022 22:46,3/16/2022 22:47,3/16/2022 22:52,3/17/2022 4:21,RTF,REPORT TO FOLLOW,N,4C02,003XX Blk Garden Oaks Dr,70114,4,POINT (-90.02239328 29.91933776)
C1833822,20,Relevant video was found,20,AUTO ACCIDENT,1A,20,AUTO ACCIDENT,1E,3682409,537438,3/17/2022 3:17,3/17/2022 4:20,3/17/2022 4:28,3/17/2022 6:13,RTF,REPORT TO FOLLOW,N,1A01,Saint Bernard Ave & N Robertson St,70116,1,POINT (-90.06499247 29.97174081)
C1879022,20I,Relevant video was found,20I,AUTO ACCIDENT WITH INJURY,2D,20I,AUTO ACCIDENT WITH INJURY,2D,3674349,524903,3/17/2022 13:09,3/17/2022 13:10,3/17/2022 13:16,3/17/2022 14:33,RTF,REPORT TO FOLLOW,N,6F02,Washington Ave & La Salle St,70115,6,POINT (-90.09087429 29.9375179)
C1885722,20,Relevant video was found,20,AUTO ACCIDENT,1E,20,AUTO ACCIDENT,1E,3684057,547592,3/17/2022 14:07,3/17/2022 15:00,3/17/2022 15:09,3/17/2022 16:29,RTF,REPORT TO FOLLOW,N,3Q04,Elysian Fields Ave & Gentilly Blvd,70122,3,POINT (-90.05943049 29.99961078)
C1889422,37,Relevant video was found,30,HOMICIDE,2C,37,AGGRAVATED ASSAULT,2E,3699716,534019,3/17/2022 14:48,3/17/2022 14:53,3/17/2022 15:18,3/17/2022 20:50,RTF,REPORT TO FOLLOW,N,5.00E+03,Tupelo St & Urquhart St,70117,5,POINT (-90.01045838 29.96180298)
C1913522,34S,No relevant video was found,34S,AGGRAVATED BATTERY BY SHOOTING,2C,37,AGGRAVATED ASSAULT,2E,3683486,541002,3/17/2022 18:48,3/17/2022 18:50,3/17/2022 18:51,3/17/2022 22:38,RTF,REPORT TO FOLLOW,N,5K01,Pauger St & N Rocheblave St,70119,5,POINT (-90.06146394 29.98150891)
C1925022,20I,Relevant video was found,20I,AUTO ACCIDENT WITH INJURY,2D,NOPD,INCIDENT REQUESTED BY ANOTHER AGENCY,2A,3663977,526184,3/17/2022 20:48,3/17/2022 20:49,3/17/2022 20:52,3/17/2022 21:12,RTF,REPORT TO FOLLOW,N,2M05,Broadway St & Zimpel St,70118,2,POINT (-90.12357874 29.94134557)
C1908422,100i,No relevant video was found,100I,HIT & RUN WITH INJURIES,2D,100I,HIT & RUN WITH INJURIES,2D,3679846,543874,3/17/2022 17:54,3/17/2022 17:55,3/17/2022 18:07,3/17/2022 19:35,RTF,REPORT TO FOLLOW,N,3L03,Gentilly Blv & Paris Ave,70119,3,POINT (-90.07286384 29.98951769)
C1957422,20I,Relevant video was found,20I,AUTO ACCIDENT WITH INJURY,2A,20I,AUTO ACCIDENT WITH INJURY,2D,3680510,532173,3/18/2022 3:35,3/18/2022 3:36,3/18/2022 3:39,3/18/2022 5:42,RTF,REPORT TO FOLLOW,N,8D02,Bienville St & N Rampart St,70112,8,POINT (-90.07117063 29.95732229)
C1970122,20,No relevant video was found,21,COMPLAINT OTHER,1J,20,AUTO ACCIDENT,1E,3675263,528641,3/18/2022 7:07,3/18/2022 7:52,3/18/2022 8:20,3/18/2022 8:27,NAT,Necessary Action Taken,N,6L01,013XX S Claiborne Ave,70125,6,POINT (-90.08786121 29.94776979)
C1971922,21,Relevant video was found,21,COMPLAINT OTHER,1J,67A,AUTO THEFT,1D,3680927,530925,3/18/2022 7:32,3/18/2022 7:42,3/18/2022 7:48,3/18/2022 10:14,RTF,REPORT TO FOLLOW,N,8D01,Bourbon St & Canal St,70112,8,POINT (-90.06989927 29.95387931)
C1969822,20,Relevant video was found,20,AUTO ACCIDENT,1A,20,AUTO ACCIDENT,1E,3677937,523912,3/18/2022 7:01,3/18/2022 8:27,3/18/2022 8:34,3/18/2022 9:32,RTF,REPORT TO FOLLOW,N,6.00E+01,Josephine St & Saint Charles Ave,70130,6,POINT (-90.07958184 29.93468481)
C1983022,103,Relevant video was found,103,DISTURBANCE (OTHER),1C,103,DISTURBANCE (OTHER),1C,3680699,530730,3/18/2022 9:11,3/18/2022 9:13,3/18/2022 10:55,3/18/2022 11:21,NAT,Necessary Action Taken,N,8I01,001XX Carondelet St,70112,8,POINT (-90.07062658 29.95334872)
C1987522,37,No relevant video was found,21,COMPLAINT OTHER,1J,37,AGGRAVATED ASSAULT,2E,3679946,544094,3/18/2022 10:10,3/18/2022 10:11,3/18/2022 10:21,3/18/2022 12:02,NAT,Necessary Action Taken,N,3L03,020XX Gentilly Blvd,70119,3,POINT (-90.07253774 29.99011724)
